#: table_doi: 10.17182/hepdata.133152.v1/t4
#: name: Table 4
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_4.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.55,0.016373,0.0002464,-0.0002464,0.00127,-0.00127
0.65,0.016149,0.00032356,-0.00032356,0.00082706,-0.00082706
0.75,0.017972,0.00052947,-0.00052947,0.00068676,-0.00068676
0.85,0.018564,0.00026488,-0.00026488,0.0014078,-0.0014078
0.95,0.026967,0.00043286,-0.00043286,0.0014021,-0.0014021
1.125,0.036516,0.00035624,-0.00035624,0.0011412,-0.0011412
1.375,0.052546,0.00026086,-0.00026086,0.00087925,-0.00087925
1.625,0.076217,0.00024454,-0.00024454,0.0010232,-0.0010232
1.875,0.10007,0.00033068,-0.00033068,0.0011118,-0.0011118
2.125,0.12161,0.00026242,-0.00026242,0.0014263,-0.0014263
2.375,0.14255,0.00020038,-0.00020038,0.0018659,-0.0018659
2.75,0.16525,0.00041604,-0.00041604,0.0018097,-0.0018097
3.25,0.18901,0.0007059,-0.0007059,0.0019714,-0.0019714
3.75,0.20148,0.00088881,-0.00088881,0.0021015,-0.0021015
4.5,0.2063,0.0010307,-0.0010307,0.0021517,-0.0021517
5.5,0.19212,0.0038062,-0.0038062,0.0020039,-0.0020039

