#: table_doi: 10.17182/hepdata.133152.v1/t54
#: name: Table 54
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_54.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
1.25,0.0095826,0.015546,-0.015546,0.0,-0.0
1.75,0.079467,0.0059794,-0.0059794,0.00076576,-0.00076576
2.25,0.11439,0.010082,-0.010082,0.0011023,-0.0011023
2.75,0.16204,0.0074672,-0.0074672,0.0032296,-0.0032296
3.25,0.18529,0.0072583,-0.0072583,0.003693,-0.003693
3.75,0.20683,0.010561,-0.010561,0.0041224,-0.0041224
4.5,0.2247,0.012808,-0.012808,0.0044786,-0.0044786
5.5,0.18856,0.015118,-0.015118,0.0017998,-0.0017998

