#: table_doi: 10.17182/hepdata.133152.v1/t64
#: name: Table 64
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_64.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.03361,0.00012398,-0.00012398,0.00065675,-0.00065675
0.35,0.047542,0.00012169,-0.00012169,0.00041981,-0.00041981
0.45,0.062132,5.1206e-05,-5.1206e-05,0.00028783,-0.00028783
0.55,0.075451,0.00013845,-0.00013845,0.00034574,-0.00034574
0.65,0.08773,0.00013061,-0.00013061,0.00025129,-0.00025129
0.75,0.099722,0.00019664,-0.00019664,0.0001827,-0.0001827
0.85,0.11026,0.00013848,-0.00013848,0.00014448,-0.00014448
0.95,0.12018,0.00017896,-0.00017896,0.00017794,-0.00017794
1.125,0.13458,0.00010681,-0.00010681,0.0002401,-0.0002401
1.375,0.15355,0.00022688,-0.00022688,0.00036704,-0.00036704
1.625,0.16923,0.00014493,-0.00014493,0.00055651,-0.00055651
1.875,0.18152,0.00032132,-0.00032132,0.000652,-0.000652
2.125,0.1903,0.00046074,-0.00046074,0.0011516,-0.0011516
2.375,0.1958,0.00033209,-0.00033209,0.0013565,-0.0013565
2.75,0.19826,0.00038049,-0.00038049,0.0017057,-0.0017057
3.25,0.19376,0.00067342,-0.00067342,0.0021189,-0.0021189
3.75,0.18125,0.0010689,-0.0010689,0.0019821,-0.0019821
4.5,0.16128,0.00049088,-0.00049088,0.0017637,-0.0017637
5.5,0.13154,0.0023484,-0.0023484,0.0014384,-0.0014384
7.0,0.11361,0.0027953,-0.0027953,0.0012424,-0.0012424
9.0,0.091326,0.0026661,-0.0026661,0.00099871,-0.00099871

