#: table_doi: 10.17182/hepdata.133152.v1/t35
#: name: Table 35
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_35.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.9,0.027874,0.0063404,-0.0063404,0.0,-0.0
1.1,0.059717,0.0048352,-0.0048352,9.3236e-05,-9.3236e-05
1.3,0.086785,0.0032227,-0.0032227,0.0001355,-0.0001355
1.5,0.10969,0.0029626,-0.0029626,0.00017126,-0.00017126
1.7,0.12671,0.0029891,-0.0029891,0.00019627,-0.00019627
1.9,0.15763,0.0036427,-0.0036427,0.00024417,-0.00024417
2.125,0.18456,0.0023088,-0.0023088,0.00028588,-0.00028588
2.375,0.22208,0.0021357,-0.0021357,0.00055267,-0.00055267
2.625,0.24166,0.0027045,-0.0027045,0.0006014,-0.0006014
2.875,0.25615,0.0031677,-0.0031677,0.00092142,-0.00092142
3.25,0.27704,0.0020026,-0.0020026,0.00099656,-0.00099656
3.75,0.28169,0.0034421,-0.0034421,0.0010133,-0.0010133
4.5,0.28584,0.0037697,-0.0037697,0.0010282,-0.0010282
5.5,0.26181,0.0080049,-0.0080049,0.0009418,-0.0009418
8.0,0.22995,0.012502,-0.012502,0.00082718,-0.00082718

