#: table_doi: 10.17182/hepdata.133152.v1/t17
#: name: Table 17
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_17.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.9,0.0076715,0.0062776,-0.0062776,0.0,-0.0
1.1,0.02699,0.0051267,-0.0051267,0.00013826,-0.00013826
1.3,0.038991,0.0029545,-0.0029545,0.00019974,-0.00019974
1.5,0.068572,0.0026505,-0.0026505,0.00035129,-0.00035129
1.7,0.088557,0.0030116,-0.0030116,0.00020014,-0.00020014
1.9,0.11573,0.0020405,-0.0020405,0.00026154,-0.00026154
2.125,0.13322,0.0019079,-0.0019079,0.00030108,-0.00030108
2.375,0.16029,0.0029846,-0.0029846,0.00080209,-0.00080209
2.625,0.18211,0.0033548,-0.0033548,0.00091125,-0.00091125
2.875,0.20274,0.0025887,-0.0025887,0.0010386,-0.0010386
3.25,0.21676,0.0025392,-0.0025392,0.0011104,-0.0011104
3.75,0.24908,0.0026422,-0.0026422,0.001276,-0.001276
4.5,0.25637,0.0039648,-0.0039648,0.0013134,-0.0013134
5.5,0.24739,0.0069023,-0.0069023,0.00055911,-0.00055911
8.0,0.20224,0.018176,-0.018176,0.00045707,-0.00045707

