#: table_doi: 10.17182/hepdata.133152.v1/t31
#: name: Table 31
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_31.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.55,0.024088,0.00085428,-0.00085428,0.00035411,-0.00035411
0.65,0.030592,0.00045326,-0.00045326,0.00053139,-0.00053139
0.75,0.039342,0.00055823,-0.00055823,0.0014206,-0.0014206
0.85,0.052713,0.00089828,-0.00089828,0.003216,-0.003216
0.95,0.064553,0.00045201,-0.00045201,0.0016968,-0.0016968
1.125,0.085259,0.0004771,-0.0004771,0.0013989,-0.0013989
1.375,0.12083,0.00081408,-0.00081408,0.0019358,-0.0019358
1.625,0.15844,0.00078866,-0.00078866,0.0017432,-0.0017432
1.875,0.1913,0.00056384,-0.00056384,0.0019273,-0.0019273
2.125,0.22382,0.00074526,-0.00074526,0.0014553,-0.0014553
2.375,0.24645,0.001033,-0.001033,0.0011183,-0.0011183
2.75,0.27067,0.00072688,-0.00072688,0.0010003,-0.0010003
3.25,0.289,0.0012994,-0.0012994,0.0030493,-0.0030493
3.75,0.30087,0.0021744,-0.0021744,0.0031745,-0.0031745
4.5,0.29376,0.0031134,-0.0031134,0.0030995,-0.0030995
5.5,0.2641,0.012784,-0.012784,0.0027866,-0.0027866

