#: table_doi: 10.17182/hepdata.133152.v1/t46
#: name: Table 46
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_46.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.029826,5.756e-05,-5.756e-05,0.00027767,-0.00027767
0.35,0.040685,4.7811e-05,-4.7811e-05,0.00037901,-0.00037901
0.45,0.052119,4.6406e-05,-4.6406e-05,0.0004144,-0.0004144
0.55,0.06284,4.6381e-05,-4.6381e-05,0.00050709,-0.00050709
0.65,0.07261,6.9235e-05,-6.9235e-05,0.00057176,-0.00057176
0.75,0.082112,3.5045e-05,-3.5045e-05,0.00057009,-0.00057009
0.85,0.090859,6.789e-05,-6.789e-05,0.00075495,-0.00075495
0.95,0.099184,6.0071e-05,-6.0071e-05,0.00084601,-0.00084601
1.125,0.11158,7.3868e-05,-7.3868e-05,0.00096365,-0.00096365
1.375,0.12873,6.8504e-05,-6.8504e-05,0.0010822,-0.0010822
1.625,0.14384,8.5189e-05,-8.5189e-05,0.0011409,-0.0011409
1.875,0.15717,6.6205e-05,-6.6205e-05,0.001074,-0.001074
2.125,0.16888,0.00015202,-0.00015202,0.00097342,-0.00097342
2.375,0.17841,0.0002384,-0.0002384,0.00097323,-0.00097323
2.75,0.18676,0.0001957,-0.0001957,0.00095345,-0.00095345
3.25,0.19094,0.00034976,-0.00034976,0.00074359,-0.00074359
3.75,0.18584,0.00031855,-0.00031855,0.0007237,-0.0007237
4.5,0.16856,0.00057587,-0.00057587,0.00065644,-0.00065644
5.5,0.13765,0.0010969,-0.0010969,0.00053605,-0.00053605
7.0,0.10366,0.00092379,-0.00092379,0.00040367,-0.00040367
9.0,0.083483,0.002048,-0.002048,0.00032511,-0.00032511

