#: table_doi: 10.17182/hepdata.133152.v1/t193
#: name: Table 193
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_193.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.84639,0.0025794,-0.0025794,0.0071411,-0.0071411
0.35,0.859,0.0024115,-0.0024115,0.0019192,-0.0019192
0.45,0.86441,0.0021497,-0.0021497,0.0041148,-0.0041148
0.55,0.8664,0.0015356,-0.0015356,0.002191,-0.002191
0.65,0.86695,0.0015048,-0.0015048,0.0013699,-0.0013699
0.75,0.87225,0.0017284,-0.0017284,0.0028607,-0.0028607
0.85,0.87286,0.0012404,-0.0012404,0.0032431,-0.0032431
0.95,0.87428,0.0013783,-0.0013783,0.0034771,-0.0034771
1.125,0.86965,0.00093681,-0.00093681,0.0037042,-0.0037042
1.375,0.86497,0.00099101,-0.00099101,0.0037397,-0.0037397
1.625,0.86181,0.0010585,-0.0010585,0.0040604,-0.0040604
1.875,0.85661,0.0019666,-0.0019666,0.0046506,-0.0046506
2.125,0.84733,0.0018206,-0.0018206,0.0050458,-0.0050458
2.375,0.8399,0.0025069,-0.0025069,0.0046758,-0.0046758
2.75,0.82775,0.0028507,-0.0028507,0.0055858,-0.0055858
3.25,0.8103,0.0031762,-0.0031762,0.0045924,-0.0045924
3.75,0.79581,0.0053704,-0.0053704,0.0045103,-0.0045103
4.5,0.7914,0.0052718,-0.0052718,0.0044853,-0.0044853
5.5,0.78388,0.0098252,-0.0098252,0.0044427,-0.0044427
7.0,0.83234,0.024536,-0.024536,0.0047173,-0.0047173
9.0,0.8033,0.041001,-0.041001,0.0045528,-0.0045528

