#: table_doi: 10.17182/hepdata.133152.v1/t48
#: name: Table 48
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_48.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.35,0.013997,0.00034394,-0.00034394,0.00026416,-0.00026416
0.45,0.022816,0.00026318,-0.00026318,0.0012404,-0.0012404
0.55,0.034682,0.0001178,-0.0001178,0.00146,-0.00146
0.65,0.043382,0.00025715,-0.00025715,0.00083128,-0.00083128
0.75,0.054681,0.00022345,-0.00022345,0.001085,-0.001085
0.85,0.067463,0.00039375,-0.00039375,0.0010721,-0.0010721
0.95,0.079967,0.00033058,-0.00033058,0.00087997,-0.00087997
1.125,0.099421,0.00020056,-0.00020056,0.00094178,-0.00094178
1.375,0.12298,0.00025496,-0.00025496,0.0011971,-0.0011971
1.625,0.14274,0.00033111,-0.00033111,0.0013514,-0.0013514
1.875,0.15707,0.00029397,-0.00029397,0.0013567,-0.0013567
2.125,0.1679,0.00047257,-0.00047257,0.00082355,-0.00082355
2.375,0.17649,0.00035938,-0.00035938,0.001099,-0.001099
2.75,0.18032,0.00063295,-0.00063295,0.001703,-0.001703
3.25,0.18078,0.0013232,-0.0013232,0.00206,-0.00206
3.75,0.1707,0.0014139,-0.0014139,0.0019451,-0.0019451
4.5,0.15778,0.0026091,-0.0026091,0.001798,-0.001798
5.5,0.12358,0.0041234,-0.0041234,0.0014083,-0.0014083

