#: table_doi: 10.17182/hepdata.133152.v1/t26
#: name: Table 26
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_26.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.9,0.043659,0.0088053,-0.0088053,0.0,-0.0
1.1,0.044796,0.003617,-0.003617,0.000242,-0.000242
1.3,0.06433,0.0028841,-0.0028841,0.00034753,-0.00034753
1.5,0.088232,0.0028437,-0.0028437,0.00047665,-0.00047665
1.7,0.11255,0.0023177,-0.0023177,0.000608,-0.000608
1.9,0.13853,0.0019864,-0.0019864,0.00074836,-0.00074836
2.125,0.16812,0.0011339,-0.0011339,0.00090822,-0.00090822
2.375,0.19486,0.0020745,-0.0020745,0.00042275,-0.00042275
2.625,0.21669,0.0022776,-0.0022776,0.00047013,-0.00047013
2.875,0.23312,0.0026704,-0.0026704,0.00050578,-0.00050578
3.25,0.2589,0.0024427,-0.0024427,0.0005617,-0.0005617
3.75,0.28054,0.002451,-0.002451,0.00054913,-0.00054913
4.5,0.28853,0.0030487,-0.0030487,0.00056477,-0.00056477
5.5,0.26813,0.0041469,-0.0041469,0.0013681,-0.0013681
8.0,0.20254,0.009588,-0.009588,0.0010334,-0.0010334

