#: table_doi: 10.17182/hepdata.133152.v1/t186
#: name: Table 186
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_186.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.88336,0.0026521,-0.0026521,0.0045542,-0.0045542
0.35,0.87758,0.0014692,-0.0014692,0.013615,-0.013615
0.45,0.88692,0.0007923,-0.0007923,0.0066667,-0.0066667
0.55,0.88876,0.0013641,-0.0013641,0.0017062,-0.0017062
0.65,0.88605,0.00089786,-0.00089786,0.0019934,-0.0019934
0.75,0.8915,0.001593,-0.001593,0.0032758,-0.0032758
0.85,0.89567,0.0014245,-0.0014245,0.0057044,-0.0057044
0.95,0.89357,0.0022998,-0.0022998,0.0028747,-0.0028747
1.125,0.89262,0.0005106,-0.0005106,0.0021842,-0.0021842
1.375,0.89011,0.0010656,-0.0010656,0.0038108,-0.0038108
1.625,0.88531,0.0015464,-0.0015464,0.0043362,-0.0043362
1.875,0.88125,0.0019187,-0.0019187,0.0038066,-0.0038066
2.125,0.87383,0.0016151,-0.0016151,0.004785,-0.004785
2.375,0.86753,0.0015046,-0.0015046,0.004205,-0.004205
2.75,0.86029,0.0036147,-0.0036147,0.0040628,-0.0040628
3.25,0.84447,0.005415,-0.005415,0.0080844,-0.0080844
3.75,0.84609,0.0048336,-0.0048336,0.0080999,-0.0080999
4.5,0.86236,0.0067213,-0.0067213,0.0082556,-0.0082556
5.5,0.86484,0.015399,-0.015399,0.0082793,-0.0082793
7.0,0.83754,0.023,-0.023,0.008018,-0.008018
9.0,0.79471,0.052419,-0.052419,0.007608,-0.007608

