#: table_doi: 10.17182/hepdata.133152.v1/t24
#: name: Table 24
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_24.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.8,0.031696,0.0013098,-0.0013098,0.0017652,-0.0017652
1.125,0.060477,0.0011665,-0.0011665,0.00081895,-0.00081895
1.375,0.096956,0.00097134,-0.00097134,0.0004782,-0.0004782
1.625,0.12803,0.00070251,-0.00070251,0.0050188,-0.0050188
1.875,0.1637,0.00058642,-0.00058642,0.001297,-0.001297
2.125,0.19467,0.0010424,-0.0010424,0.00094873,-0.00094873
2.375,0.21318,0.0021089,-0.0021089,0.0032155,-0.0032155
2.75,0.24856,0.0019099,-0.0019099,0.0029876,-0.0029876
3.25,0.27271,0.0021939,-0.0021939,0.0042012,-0.0042012
3.75,0.28561,0.0028222,-0.0028222,0.0040844,-0.0040844
4.5,0.28018,0.00236,-0.00236,0.0038326,-0.0038326
5.5,0.26247,0.009891,-0.009891,0.0041776,-0.0041776
8.0,0.19306,0.013008,-0.013008,0.0037208,-0.0037208

