#: table_doi: 10.17182/hepdata.133152.v1/t113
#: name: Table 113
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_113.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.25,0.011129,9.9061e-05,-9.9061e-05,0.00022098,-0.00022098
0.35,0.014441,0.00010123,-0.00010123,0.00016558,-0.00016558
0.45,0.018445,8.9875e-05,-8.9875e-05,0.00024069,-0.00024069
0.55,0.021774,9.7791e-05,-9.7791e-05,0.00026306,-0.00026306
0.65,0.025259,0.00012807,-0.00012807,0.00019059,-0.00019059
0.75,0.028179,0.00013696,-0.00013696,0.0004167,-0.0004167
0.85,0.031171,0.0001326,-0.0001326,0.00031363,-0.00031363
0.95,0.033669,0.0002083,-0.0002083,0.00033936,-0.00033936
1.125,0.038006,0.00010002,-0.00010002,0.00042999,-0.00042999
1.375,0.043882,0.0001435,-0.0001435,0.00063724,-0.00063724
1.625,0.048741,0.00022084,-0.00022084,0.00075142,-0.00075142
1.875,0.053882,0.00027428,-0.00027428,0.00096895,-0.00096895
2.125,0.058476,0.00022586,-0.00022586,0.00094346,-0.00094346
2.375,0.062128,0.00036353,-0.00036353,0.00098657,-0.00098657
2.75,0.067959,0.00022875,-0.00022875,0.0014089,-0.0014089
3.25,0.07207,0.00052504,-0.00052504,0.0015399,-0.0015399
3.75,0.07235,0.00050064,-0.00050064,0.0015459,-0.0015459
4.5,0.067913,0.00096627,-0.00096627,0.0014511,-0.0014511
5.5,0.052465,0.0014475,-0.0014475,0.001121,-0.001121
7.0,0.040582,0.0024359,-0.0024359,0.00086712,-0.00086712
9.0,0.026533,0.002245,-0.002245,0.00056692,-0.00056692

