#: table_doi: 10.17182/hepdata.133152.v1/t56
#: name: Table 56
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_56.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.030104,7.979e-05,-7.979e-05,0.0020433,-0.0020433
0.35,0.045487,3.1458e-05,-3.1458e-05,0.0024772,-0.0024772
0.45,0.06035,3.9661e-05,-3.9661e-05,0.00048482,-0.00048482
0.55,0.074633,8.2556e-05,-8.2556e-05,0.0023673,-0.0023673
0.65,0.08825,0.00012682,-0.00012682,0.001383,-0.001383
0.75,0.10161,0.00016032,-0.00016032,0.00083433,-0.00083433
0.85,0.11276,9.2162e-05,-9.2162e-05,0.00090427,-0.00090427
0.95,0.12285,0.00015297,-0.00015297,0.0011273,-0.0011273
1.125,0.13916,0.00014442,-0.00014442,0.00098591,-0.00098591
1.375,0.1594,0.00021121,-0.00021121,0.00065711,-0.00065711
1.625,0.17446,0.00020915,-0.00020915,0.00041488,-0.00041488
1.875,0.18463,0.00049612,-0.00049612,0.00029913,-0.00029913
2.125,0.19047,0.00041224,-0.00041224,0.00037879,-0.00037879
2.375,0.19365,0.00027595,-0.00027595,0.00050293,-0.00050293
2.75,0.19253,0.00047771,-0.00047771,0.0012811,-0.0012811
3.25,0.18332,0.00080496,-0.00080496,0.0022086,-0.0022086
3.75,0.16948,0.00076588,-0.00076588,0.0020419,-0.0020419
4.5,0.15317,0.0011994,-0.0011994,0.0018455,-0.0018455
5.5,0.12451,0.0014167,-0.0014167,0.0015001,-0.0015001
7.0,0.099349,0.0020846,-0.0020846,0.001197,-0.001197
9.0,0.074035,0.0052902,-0.0052902,0.000892,-0.000892

