#: table_doi: 10.17182/hepdata.133152.v1/t188
#: name: Table 188
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_188.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.75,0.88094,0.0099535,-0.0099535,0.012468,-0.012468
1.25,0.91809,0.0055652,-0.0055652,0.0064769,-0.0064769
1.75,0.92106,0.0026561,-0.0026561,0.0022776,-0.0022776
2.25,0.9043,0.0020637,-0.0020637,0.0021682,-0.0021682
2.75,0.88379,0.0025511,-0.0025511,0.0033402,-0.0033402
3.5,0.87008,0.0033545,-0.0033545,0.0059396,-0.0059396
5.0,0.85299,0.0094844,-0.0094844,0.005823,-0.005823

