#: table_doi: 10.17182/hepdata.133152.v1/t22
#: name: Table 22
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_22.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.55,0.020443,0.00062341,-0.00062341,0.00069283,-0.00069283
0.65,0.024303,0.00040078,-0.00040078,0.00039228,-0.00039228
0.75,0.029538,0.00035247,-0.00035247,0.0014169,-0.0014169
0.85,0.039513,0.00066428,-0.00066428,0.0020729,-0.0020729
0.95,0.050096,0.00040677,-0.00040677,0.0017838,-0.0017838
1.125,0.067583,0.00022826,-0.00022826,0.0017418,-0.0017418
1.375,0.099066,0.00022604,-0.00022604,0.0013316,-0.0013316
1.625,0.13532,0.00039387,-0.00039387,0.0015452,-0.0015452
1.875,0.16981,0.00048753,-0.00048753,0.0018478,-0.0018478
2.125,0.20075,0.00065832,-0.00065832,0.0021899,-0.0021899
2.375,0.22672,0.00055226,-0.00055226,0.0013991,-0.0013991
2.75,0.2537,0.0005378,-0.0005378,0.0017757,-0.0017757
3.25,0.27961,0.00084865,-0.00084865,0.0026982,-0.0026982
3.75,0.28945,0.0010508,-0.0010508,0.0027931,-0.0027931
4.5,0.29024,0.0014592,-0.0014592,0.0028007,-0.0028007
5.5,0.26075,0.0047915,-0.0047915,0.0025161,-0.0025161

