#: table_doi: 10.17182/hepdata.84717.v1/t96
#: name: Table 95
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3L_4.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV3L_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v3_3040,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0161971,0.00379787,-0.00379787,0.004843299,-0.004843299
1.25,1.1,1.4,0.0254238,0.00250207,-0.00250207,0.003889149,-0.003889149
1.5499999999999998,1.4,1.7,0.0399912,0.00219778,-0.00219778,0.005709231,-0.005709231
1.85,1.7,2.0,0.0635055,0.00223296,-0.00223296,0.006100608,-0.006100608
2.25,2.0,2.5,0.087453,0.00199671,-0.00199671,0.005328351,-0.005328351
2.75,2.5,3.0,0.111848,0.00268921,-0.00268921,0.004506029,-0.004506029
3.25,3.0,3.5,0.13218,0.00392813,-0.00392813,0.005578019,-0.005578019
3.75,3.5,4.0,0.138235,0.00593924,-0.00593924,0.005833541,-0.005833541
4.5,4.0,5.0,0.141821,0.0076006,-0.0076006,0.005984871,-0.005984871
5.5,5.0,6.0,0.118802,0.0167223,-0.0167223,0.005013465,-0.005013465
7.0,6.0,8.0,0.0395086,0.0296678,-0.0296678,0.00166727,-0.00166727
9.0,8.0,10.0,0.120911,0.087679,-0.087679,0.005102466,-0.005102466

