#: table_doi: 10.17182/hepdata.84717.v1/t22
#: name: Table 21
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pin_4.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV4Pin_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v4_3040,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0094478911,0.0007179535,-0.0007179535,0.0009953971,-0.0009953971
0.6499999999999999,0.6,0.7,0.0146431904,0.0007531915,-0.0007531915,0.0015427559,-0.0015427559
0.75,0.7,0.8,0.015536472,0.0008285,-0.0008285,0.0016368689,-0.0016368689
0.8500000000000001,0.8,0.9,0.0207162339,0.0009167552,-0.0009167552,0.0020297682,-0.0020297682
0.95,0.9,1.0,0.0225992046,0.0010233273,-0.0010233273,0.0022142609,-0.0022142609
1.125,1.0,1.25,0.0331322652,0.0007822368,-0.0007822368,0.0032462859,-0.0032462859
1.375,1.25,1.5,0.0415549942,0.0010419777,-0.0010419777,0.0040715418,-0.0040715418
1.625,1.5,1.75,0.0508267044,0.0013786687,-0.0013786687,0.0049800108,-0.0049800108
1.875,1.75,2.0,0.0598656976,0.0017971696,-0.0017971696,0.0058663697,-0.0058663697
2.125,2.0,2.25,0.064135255,0.0023304607,-0.0023304607,0.0063165901,-0.0063165901
2.375,2.25,2.5,0.0685941381,0.002982443,-0.002982443,0.0067557392,-0.0067557392
2.625,2.5,2.75,0.0715814007,0.0037549107,-0.0037549107,0.0070499504,-0.0070499504
2.875,2.75,3.0,0.0797196269,0.0046755606,-0.0046755606,0.0078514728,-0.0078514728
3.125,3.0,3.25,0.0788821882,0.0057501815,-0.0057501815,0.0077689946,-0.0077689946
3.375,3.25,3.5,0.0768399439,0.0069834561,-0.0069834561,0.0075678569,-0.0075678569
3.625,3.5,3.75,0.0684339372,0.0084349484,-0.0084349484,0.0067399612,-0.0067399612
3.875,3.75,4.0,0.0434628407,0.0100259433,-0.0100259433,0.0042805934,-0.0042805934
4.25,4.0,4.5,0.0520296705,0.0108281301,-0.0108281301,0.0058287168,-0.0058287168
4.75,4.5,5.0,0.0623329753,0.0147311367,-0.0147311367,0.0069829629,-0.0069829629
5.5,5.0,6.0,0.0348599021,0.0151655779,-0.0151655779,0.0039052428,-0.0039052428

