#: table_doi: 10.17182/hepdata.84717.v1/t12
#: name: Table 11
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pin_1.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV3Pin_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v3_510,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0171725215,0.0001856992,-0.0001856992,0.0005842832,-0.0005842832
0.6499999999999999,0.6,0.7,0.0215063545,0.0001903631,-0.0001903631,0.0007523079,-0.0007523079
0.75,0.7,0.8,0.0264070274,0.0002060559,-0.0002060559,0.001162484,-0.001162484
0.8500000000000001,0.8,0.9,0.0309176444,0.0002257634,-0.0002257634,0.0011900814,-0.0011900814
0.95,0.9,1.0,0.0354174957,0.0002502625,-0.0002502625,0.0011817728,-0.0011817728
1.125,1.0,1.25,0.0433440784,0.0001906001,-0.0001906001,0.0011427518,-0.0011427518
1.375,1.25,1.5,0.0543801379,0.000252179,-0.000252179,0.0014955715,-0.0014955715
1.625,1.5,1.75,0.0643229617,0.0003329292,-0.0003329292,0.0018833535,-0.0018833535
1.875,1.75,2.0,0.0737348727,0.0004364309,-0.0004364309,0.0019615697,-0.0019615697
2.125,2.0,2.25,0.0808101002,0.0005721545,-0.0005721545,0.0019945304,-0.0019945304
2.375,2.25,2.5,0.0862780308,0.0007433181,-0.0007433181,0.0020120903,-0.0020120903
2.625,2.5,2.75,0.0919144132,0.0009553883,-0.0009553883,0.0022241557,-0.0022241557
2.875,2.75,3.0,0.0933082952,0.0012152719,-0.0012152719,0.0027749215,-0.0027749215
3.125,3.0,3.25,0.0952101684,0.0015297496,-0.0015297496,0.0028448362,-0.0028448362
3.375,3.25,3.5,0.0941816462,0.0019072471,-0.0019072471,0.0023659645,-0.0023659645
3.625,3.5,3.75,0.0947116671,0.002351087,-0.002351087,0.0024170217,-0.0024170217
3.875,3.75,4.0,0.0864107675,0.002860098,-0.002860098,0.002817546,-0.002817546
4.25,4.0,4.5,0.0821479222,0.0034491558,-0.0034491558,0.0052278619,-0.0052278619
4.75,4.5,5.0,0.0723036911,0.0048241863,-0.0048241863,0.0046013789,-0.0046013789
5.5,5.0,6.0,0.0606939151,0.0050997514,-0.0050997514,0.0038625372,-0.0038625372
6.5,6.0,7.0,0.0476184931,0.0080163739,-0.0080163739,0.0030304224,-0.0030304224
8.0,7.0,9.0,0.0350928459,0.0093007134,-0.0093007134,0.0022332951,-0.0022332951
10.5,9.0,12.0,0.0177607231,0.014417912,-0.014417912,0.0011302855,-0.0011302855

