#: table_doi: 10.17182/hepdata.84717.v1/t79
#: name: Table 78
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3K0_1.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV3K0_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v3_510,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.00923015,0.00165818,-0.00165818,0.002097475,-0.002097475
0.9500000000000001,0.8,1.1,0.0205573,0.000954565,-0.000954565,0.003164698,-0.003164698
1.25,1.1,1.4,0.034861,0.000888214,-0.000888214,0.001505766,-0.001505766
1.5499999999999998,1.4,1.7,0.0486235,0.00106097,-0.00106097,0.002543651,-0.002543651
1.85,1.7,2.0,0.0623881,0.00140074,-0.00140074,0.003127961,-0.003127961
2.25,2.0,2.5,0.074827,0.00159209,-0.00159209,0.004342058,-0.004342058
2.75,2.5,3.0,0.0867781,0.00252089,-0.00252089,0.001724463,-0.001724463
3.25,3.0,3.5,0.0845491,0.00394791,-0.00394791,0.008446446,-0.008446446
3.75,3.5,4.0,0.0982677,0.00599492,-0.00599492,0.009816933,-0.009816933
4.5,4.0,5.0,0.0881528,0.00701684,-0.00701684,0.008806456,-0.008806456
5.5,5.0,6.0,0.0618137,0.0119995,-0.0119995,0.006175182,-0.006175182
7.0,6.0,8.0,0.0547242,0.0163913,-0.0163913,0.005466942,-0.005466942
9.0,8.0,10.0,0.00544283,0.0333609,-0.0333609,0.0005437382,-0.0005437382

