#: table_doi: 10.17182/hepdata.84717.v1/t56
#: name: Table 55
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pn_0ultra.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV3Pn_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v3_01,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0040414635,0.0036869165,-0.0036869165,0.0006977843,-0.0006977843
0.8500000000000001,0.8,0.9,-0.0013269914,0.0033789858,-0.0033789858,0.0002101303,-0.0002101303
0.95,0.9,1.0,0.0030103434,0.003211845,-0.003211845,0.0004766905,-0.0004766905
1.125,1.0,1.25,0.0053017854,0.0019442027,-0.0019442027,0.0004339698,-0.0004339698
1.375,1.25,1.5,0.0144761753,0.0019555766,-0.0019555766,0.0011512883,-0.0011512883
1.625,1.5,1.75,0.0206680409,0.0020916655,-0.0020916655,0.0012824182,-0.0012824182
1.875,1.75,2.0,0.0327984542,0.0023017762,-0.0023017762,0.0020350907,-0.0020350907
2.125,2.0,2.25,0.0420230792,0.0017917078,-0.0017917078,0.002682575,-0.002682575
2.375,2.25,2.5,0.0539908724,0.0020988518,-0.0020988518,0.0034465506,-0.0034465506
2.625,2.5,2.75,0.0630640568,0.0024977765,-0.0024977765,0.0040257398,-0.0040257398
2.875,2.75,3.0,0.0744887758,0.0030167816,-0.0030167816,0.0047938872,-0.0047938872
3.125,3.0,3.25,0.0843295733,0.003706816,-0.003706816,0.0053898342,-0.0053898342
3.375,3.25,3.5,0.0969406282,0.0045911595,-0.0045911595,0.0062637449,-0.0062637449
3.625,3.5,3.75,0.092708055,0.0057162384,-0.0057162384,0.0059902604,-0.0059902604
3.875,3.75,4.0,0.0970174923,0.0070984171,-0.0070984171,0.0062687114,-0.0062687114
4.25,4.0,4.5,0.1136615298,0.0083701841,-0.0083701841,0.0096946019,-0.0096946019
4.75,4.5,5.0,0.0876615174,0.0119645903,-0.0119645903,0.0074769671,-0.0074769671
5.5,5.0,6.0,0.0675357492,0.0135667098,-0.0135667098,0.0057603677,-0.0057603677
6.5,6.0,7.0,0.0590205522,0.0238433642,-0.0238433642,0.0050340758,-0.0050340758
8.0,7.0,9.0,0.0001760204,0.030728096,-0.030728096,1.50134e-05,-1.50134e-05
10.5,9.0,12.0,0.0237770475,0.0487442224,-0.0487442224,0.0020280302,-0.0020280302

