#: table_doi: 10.17182/hepdata.84717.v1/t18
#: name: Table 17
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pin_0.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV4Pin_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v4_05,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0062852613,0.0004482991,-0.0004482991,0.0008686404,-0.0008686404
0.6499999999999999,0.6,0.7,0.0080734589,0.0004579089,-0.0004579089,0.0011157743,-0.0011157743
0.75,0.7,0.8,0.0089541148,0.0004947431,-0.0004947431,0.0012374833,-0.0012374833
0.8500000000000001,0.8,0.9,0.0129664595,0.0005422308,-0.0005422308,0.0017201953,-0.0017201953
0.95,0.9,1.0,0.0157613309,0.0006027267,-0.0006027267,0.0020909769,-0.0020909769
1.125,1.0,1.25,0.0199906911,0.0004600331,-0.0004600331,0.0026520649,-0.0026520649
1.375,1.25,1.5,0.0277565776,0.0006076316,-0.0006076316,0.0027195782,-0.0027195782
1.625,1.5,1.75,0.0358480455,0.0008020092,-0.0008020092,0.0035123773,-0.0035123773
1.875,1.75,2.0,0.0408453219,0.0010532485,-0.0010532485,0.0040028479,-0.0040028479
2.125,2.0,2.25,0.0464574224,0.0013859247,-0.0013859247,0.0045755255,-0.0045755255
2.375,2.25,2.5,0.0537401201,0.0018087452,-0.0018087452,0.0052927881,-0.0052927881
2.625,2.5,2.75,0.0602745387,0.0023346887,-0.0023346887,0.0059363537,-0.0059363537
2.875,2.75,3.0,0.061832202,0.0029831456,-0.0029831456,0.0060897657,-0.0060897657
3.125,3.0,3.25,0.065251532,0.0037759453,-0.0037759453,0.0064265307,-0.0064265307
3.375,3.25,3.5,0.0679661779,0.0047373547,-0.0047373547,0.0066938923,-0.0066938923
3.625,3.5,3.75,0.0685426549,0.0058665914,-0.0058665914,0.0067506687,-0.0067506687
3.875,3.75,4.0,0.073122656,0.007174989,-0.007174989,0.0072017465,-0.0072017465
4.25,4.0,4.5,0.0651418673,0.0087841557,-0.0087841557,0.0072976341,-0.0072976341
4.75,4.5,5.0,0.0792696722,0.0124108089,-0.0124108089,0.0088803267,-0.0088803267
5.5,5.0,6.0,0.0587298599,0.0131927323,-0.0131927323,0.0065793175,-0.0065793175

