#: table_doi: 10.17182/hepdata.84717.v1/t72
#: name: Table 71
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_2.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_1020,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0356722,0.000571467,-0.000571467,0.005518446,-0.005518446
0.9500000000000001,0.8,1.1,0.063302,0.000330381,-0.000330381,0.004073821,-0.004073821
1.25,1.1,1.4,0.0895762,0.000304036,-0.000304036,0.002944723,-0.002944723
1.5499999999999998,1.4,1.7,0.111545,0.000359678,-0.000359678,0.003416523,-0.003416523
1.85,1.7,2.0,0.129787,0.000467574,-0.000467574,0.004089226,-0.004089226
2.25,2.0,2.5,0.14554,0.0005254,-0.0005254,0.003271146,-0.003271146
2.75,2.5,3.0,0.157922,0.000847526,-0.000847526,0.004089605,-0.004089605
3.25,3.0,3.5,0.159758,0.00132038,-0.00132038,0.004229178,-0.004229178
3.75,3.5,4.0,0.151508,0.00193451,-0.00193451,0.005569864,-0.005569864
4.5,4.0,5.0,0.140269,0.00225915,-0.00225915,0.005402916,-0.005402916
5.5,5.0,6.0,0.117294,0.0039355,-0.0039355,0.01266098,-0.01266098
7.0,6.0,8.0,0.0879946,0.00495866,-0.00495866,0.009498334,-0.009498334
9.0,8.0,10.0,0.068657,0.0100547,-0.0100547,0.007410991,-0.007410991

