#: table_doi: 10.17182/hepdata.84717.v1/t65
#: name: Table 64
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_1.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_510,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0029562835,0.0041721674,-0.0041721674,0.0002433328,-0.0002433328
0.8500000000000001,0.8,0.9,-0.0039771404,0.0038078789,-0.0038078789,0.00032736,-0.00032736
0.95,0.9,1.0,-0.0021133217,0.0036297978,-0.0036297978,0.0001739483,-0.0001739483
1.125,1.0,1.25,0.0006119242,0.0022066499,-0.0022066499,5.03677e-05,-5.03677e-05
1.375,1.25,1.5,0.0060797796,0.002243566,-0.002243566,0.000500429,-0.000500429
1.625,1.5,1.75,0.0142167114,0.0024153254,-0.0024153254,0.0011701831,-0.0011701831
1.875,1.75,2.0,0.0227385459,0.0026785051,-0.0026785051,0.001926077,-0.001926077
2.125,2.0,2.25,0.035362252,0.0021228317,-0.0021228317,0.0029953737,-0.0029953737
2.375,2.25,2.5,0.0456922042,0.0024928336,-0.0024928336,0.003870386,-0.003870386
2.625,2.5,2.75,0.0609880549,0.0029735048,-0.0029735048,0.0051660258,-0.0051660258
2.875,2.75,3.0,0.067211487,0.0035897633,-0.0035897633,0.0056993018,-0.0056993018
3.125,3.0,3.25,0.0811160458,0.0043881558,-0.0043881558,0.0068793775,-0.0068793775
3.375,3.25,3.5,0.0825650058,0.0054158216,-0.0054158216,0.0070422672,-0.0070422672
3.625,3.5,3.75,0.0927505509,0.0066966902,-0.0066966902,0.0078882275,-0.0078882275
3.875,3.75,4.0,0.0959116344,0.0083001094,-0.0083001094,0.0081806493,-0.0081806493
4.25,4.0,4.5,0.0847497671,0.0098409319,-0.0098409319,0.009475312,-0.009475312
4.75,4.5,5.0,0.0916871219,0.0137606941,-0.0137606941,0.0102509318,-0.0102509318
5.5,5.0,6.0,0.0924449927,0.0153883769,-0.0153883769,0.0103356643,-0.0103356643

