#: table_doi: 10.17182/hepdata.84717.v1/t3
#: name: Table 2
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_1.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_510,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0366297345,9.22978e-05,-9.22978e-05,0.0015900184,-0.0015900184
0.6499999999999999,0.6,0.7,0.0433010942,9.46185e-05,-9.46185e-05,0.0020246646,-0.0020246646
0.75,0.7,0.8,0.0498751099,0.0001024172,-0.0001024172,0.0027933671,-0.0027933671
0.8500000000000001,0.8,0.9,0.0557931561,0.0001122355,-0.0001122355,0.002688887,-0.002688887
0.95,0.9,1.0,0.0615554104,0.000124434,-0.000124434,0.0025940922,-0.0025940922
1.125,1.0,1.25,0.0699895871,9.47975e-05,-9.47975e-05,0.00264002,-0.00264002
1.375,1.25,1.5,0.0818262816,0.0001254454,-0.0001254454,0.0024478181,-0.0024478181
1.625,1.5,1.75,0.0917731814,0.0001656954,-0.0001656954,0.0029975758,-0.0029975758
1.875,1.75,2.0,0.099865261,0.0002172134,-0.0002172134,0.0027998418,-0.0027998418
2.125,2.0,2.25,0.1063782927,0.0002849267,-0.0002849267,0.003005044,-0.003005044
2.375,2.25,2.5,0.1112152708,0.0003702924,-0.0003702924,0.0030469959,-0.0030469959
2.625,2.5,2.75,0.1141862454,0.000476469,-0.000476469,0.0030691972,-0.0030691972
2.875,2.75,3.0,0.114617019,0.0006059558,-0.0006059558,0.0032676138,-0.0032676138
3.125,3.0,3.25,0.1153452687,0.0007636463,-0.0007636463,0.003267719,-0.003267719
3.375,3.25,3.5,0.1131504103,0.000951609,-0.000951609,0.0030376139,-0.0030376139
3.625,3.5,3.75,0.1096668535,0.0011709743,-0.0011709743,0.0026905756,-0.0026905756
3.875,3.75,4.0,0.1056211188,0.0014265707,-0.0014265707,0.0038522793,-0.0038522793
4.25,4.0,4.5,0.1042308416,0.0017238894,-0.0017238894,0.004661345,-0.004661345
4.75,4.5,5.0,0.0904617871,0.0024095746,-0.0024095746,0.0040455742,-0.0040455742
5.5,5.0,6.0,0.0788565598,0.0025489808,-0.0025489808,0.0035265726,-0.0035265726
6.5,6.0,7.0,0.066657069,0.0039909586,-0.0039909586,0.0029809948,-0.0029809948
8.0,7.0,9.0,0.058415837,0.0046447864,-0.0046447864,0.0026124357,-0.0026124357
10.5,9.0,12.0,0.0308356386,0.007140538,-0.007140538,0.0013790117,-0.0013790117
14.0,12.0,16.0,0.045034462,0.0121728411,-0.0121728411,0.0020140024,-0.0020140024

