#: table_doi: 10.17182/hepdata.84717.v1/t50
#: name: Table 49
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_2.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_1020,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0119554381,0.000565041,-0.000565041,0.0010041715,-0.0010041715
0.8500000000000001,0.8,0.9,0.0159078122,0.000518665,-0.000518665,0.0011947671,-0.0011947671
0.95,0.9,1.0,0.0196419011,0.0004955833,-0.0004955833,0.0015004523,-0.0015004523
1.125,1.0,1.25,0.0315069869,0.0003036579,-0.0003036579,0.002053326,-0.002053326
1.375,1.25,1.5,0.0530028264,0.0003116662,-0.0003116662,0.0030721426,-0.0030721426
1.625,1.5,1.75,0.0780509436,0.0003382987,-0.0003382987,0.0037879706,-0.0037879706
1.875,1.75,2.0,0.1021180309,0.0003770824,-0.0003770824,0.0046281231,-0.0046281231
2.125,2.0,2.25,0.1257965689,0.0002968647,-0.0002968647,0.0049261893,-0.0049261893
2.375,2.25,2.5,0.1460294552,0.0003501131,-0.0003501131,0.0042886059,-0.0042886059
2.625,2.5,2.75,0.1644934854,0.0004184326,-0.0004184326,0.005376394,-0.005376394
2.875,2.75,3.0,0.178486141,0.0005045818,-0.0005045818,0.0048445351,-0.0048445351
3.125,3.0,3.25,0.1914013521,0.0006158778,-0.0006158778,0.0049246472,-0.0049246472
3.375,3.25,3.5,0.1987482069,0.0007579505,-0.0007579505,0.0045851124,-0.0045851124
3.625,3.5,3.75,0.2036374856,0.0009343666,-0.0009343666,0.0050559552,-0.0050559552
3.875,3.75,4.0,0.2062201507,0.001155167,-0.001155167,0.0068369523,-0.0068369523
4.25,4.0,4.5,0.2054820835,0.0014356876,-0.0014356876,0.0122860414,-0.0122860414
4.75,4.5,5.0,0.1975048653,0.0019784194,-0.0019784194,0.0118090732,-0.0118090732
5.5,5.0,6.0,0.1816375718,0.002178424,-0.002178424,0.010860347,-0.010860347
6.5,6.0,7.0,0.1368299168,0.0037959037,-0.0037959037,0.008181239,-0.008181239
8.0,7.0,9.0,0.1026531599,0.0047647484,-0.0047647484,0.0061377662,-0.0061377662
10.5,9.0,12.0,0.0762334986,0.0078383967,-0.0078383967,0.0045581002,-0.0045581002
14.0,12.0,16.0,0.0759777857,0.0140406316,-0.0140406316,0.0045428108,-0.0045428108

