#: table_doi: 10.17182/hepdata.84717.v1/t81
#: name: Table 80
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3K0_3.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV3K0_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v3_2030,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0171147,0.0018176,-0.0018176,0.00245268,-0.00245268
0.9500000000000001,0.8,1.1,0.028647,0.00107065,-0.00107065,0.003198533,-0.003198533
1.25,1.1,1.4,0.0476572,0.000974079,-0.000974079,0.001965801,-0.001965801
1.5499999999999998,1.4,1.7,0.0608619,0.00113528,-0.00113528,0.00228986,-0.00228986
1.85,1.7,2.0,0.0748144,0.00146187,-0.00146187,0.004483982,-0.004483982
2.25,2.0,2.5,0.0892748,0.0016412,-0.0016412,0.002061373,-0.002061373
2.75,2.5,3.0,0.100342,0.00257668,-0.00257668,0.008349667,-0.008349667
3.25,3.0,3.5,0.0988021,0.00395958,-0.00395958,0.008949635,-0.008949635
3.75,3.5,4.0,0.096117,0.0058299,-0.0058299,0.008706414,-0.008706414
4.5,4.0,5.0,0.0842105,0.0064439,-0.0064439,0.007627907,-0.007627907
5.5,5.0,6.0,0.0835246,0.0109484,-0.0109484,0.007565777,-0.007565777
7.0,6.0,8.0,0.0367755,0.0142065,-0.0142065,0.003331177,-0.003331177
9.0,8.0,10.0,0.0227898,0.0285005,-0.0285005,0.002064332,-0.002064332

