#: table_doi: 10.17182/hepdata.84717.v1/t67
#: name: Table 66
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_3.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_2030,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.009255671,0.004346326,-0.004346326,0.0008213593,-0.0008213593
0.8500000000000001,0.8,0.9,0.0022077933,0.0039840422,-0.0039840422,0.0001959222,-0.0001959222
0.95,0.9,1.0,-0.0007438164,0.0038160105,-0.0038160105,6.60072e-05,-6.60072e-05
1.125,1.0,1.25,0.0020968896,0.0023642123,-0.0023642123,0.0001860805,-0.0001860805
1.375,1.25,1.5,0.0116643768,0.0024725407,-0.0024725407,0.0010351108,-0.0010351108
1.625,1.5,1.75,0.0172456211,0.0027252192,-0.0027252192,0.0015303971,-0.0015303971
1.875,1.75,2.0,0.029700022,0.0030789344,-0.0030789344,0.0027017255,-0.0027017255
2.125,2.0,2.25,0.0449539826,0.0024752345,-0.0024752345,0.0040893327,-0.0040893327
2.375,2.25,2.5,0.0627568982,0.0029347765,-0.0029347765,0.0057088156,-0.0057088156
2.625,2.5,2.75,0.074777563,0.003516493,-0.003516493,0.0068023032,-0.0068023032
2.875,2.75,3.0,0.0905716388,0.0042459522,-0.0042459522,0.0082513325,-0.0082513325
3.125,3.0,3.25,0.0953119903,0.0051710843,-0.0051710843,0.0086717417,-0.0086717417
3.375,3.25,3.5,0.1054394936,0.0063464365,-0.0063464365,0.009649298,-0.009649298
3.625,3.5,3.75,0.107187503,0.0077654667,-0.0077654667,0.0098092671,-0.0098092671
3.875,3.75,4.0,0.1077896224,0.0095145411,-0.0095145411,0.0098643701,-0.0098643701
4.25,4.0,4.5,0.0869144905,0.0126776083,-0.0126776083,0.0094012399,-0.0094012399
4.75,4.5,5.0,0.1186935802,0.0171523429,-0.0171523429,0.0128386741,-0.0128386741
5.5,5.0,6.0,0.1024598568,0.0183669182,-0.0183669182,0.0110827284,-0.0110827284

