#: table_doi: 10.17182/hepdata.84717.v1/t75
#: name: Table 74
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_5.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_4050,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0708092,0.00126615,-0.00126615,0.004810266,-0.004810266
0.9500000000000001,0.8,1.1,0.115934,0.000761065,-0.000761065,0.002852867,-0.002852867
1.25,1.1,1.4,0.155412,0.000699952,-0.000699952,0.003013795,-0.003013795
1.5499999999999998,1.4,1.7,0.183492,0.000803253,-0.000803253,0.003190686,-0.003190686
1.85,1.7,2.0,0.203317,0.00101867,-0.00101867,0.004061041,-0.004061041
2.25,2.0,2.5,0.217269,0.00113267,-0.00113267,0.004178447,-0.004178447
2.75,2.5,3.0,0.221921,0.00171361,-0.00171361,0.01007893,-0.01007893
3.25,3.0,3.5,0.214635,0.0025398,-0.0025398,0.009432145,-0.009432145
3.75,3.5,4.0,0.195388,0.00358204,-0.00358204,0.01207784,-0.01207784
4.5,4.0,5.0,0.177578,0.00394095,-0.00394095,0.0173182,-0.0173182
5.5,5.0,6.0,0.146821,0.00651753,-0.00651753,0.02475626,-0.02475626
7.0,6.0,8.0,0.118546,0.00816665,-0.00816665,0.01998866,-0.01998866
9.0,8.0,10.0,0.0962659,0.0170295,-0.0170295,0.0162319,-0.0162319

