#: table_doi: 10.17182/hepdata.84717.v1/t99
#: name: Table 98
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Phi1020.yaml
#: keyword reactions: Pb Pb --> PHI
#: keyword observables: grV2Phi1020
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PHI
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PHI_v2_1020,stat +,stat -,sys +,sys -
1.05,0.9,1.2,0.0291392,0.0266734,-0.0266734,0.00145696,-0.00145696
1.35,1.2,1.5,0.0711235,0.0116732,-0.0116732,0.003556175,-0.003556175
1.65,1.5,1.8,0.0847765,0.00890131,-0.00890131,0.004238825,-0.004238825
1.9500000000000002,1.8,2.1,0.113742,0.00788838,-0.00788838,0.0056871,-0.0056871
2.25,2.1,2.4,0.121526,0.00817817,-0.00817817,0.0060763,-0.0060763
2.55,2.4,2.7,0.149716,0.00970822,-0.00970822,0.0074858,-0.0074858
2.85,2.7,3.0,0.155647,0.0099742,-0.0099742,0.00778235,-0.00778235
3.25,3.0,3.5,0.159036,0.00922615,-0.00922615,0.0079518,-0.0079518
3.75,3.5,4.0,0.147373,0.012116,-0.012116,0.00736865,-0.00736865
4.25,4.0,4.5,0.142733,0.0151034,-0.0151034,0.00713665,-0.00713665
4.75,4.5,5.0,0.153209,0.0187916,-0.0187916,0.00766045,-0.00766045
5.25,5.0,5.5,0.111163,0.023316,-0.023316,0.00555815,-0.00555815
5.75,5.5,6.0,0.108138,0.0265963,-0.0265963,0.0054069,-0.0054069
6.25,6.0,6.5,0.13974,0.0310545,-0.0310545,0.006987,-0.006987

