#: table_doi: 10.17182/hepdata.84717.v1/t69
#: name: Table 68
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_5.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_4050,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0035218311,0.0091971798,-0.0091971798,0.0003548146,-0.0003548146
0.8500000000000001,0.8,0.9,0.0191157008,0.0085491772,-0.0085491772,0.0019258534,-0.0019258534
0.95,0.9,1.0,-0.0061325835,0.0083176685,-0.0083176685,0.0006178406,-0.0006178406
1.125,1.0,1.25,0.0071182639,0.0053276583,-0.0053276583,0.0007171452,-0.0007171452
1.375,1.25,1.5,0.0241432741,0.005820194,-0.005820194,0.0024323674,-0.0024323674
1.625,1.5,1.75,0.0235837523,0.0066647729,-0.0066647729,0.0023759971,-0.0023759971
1.875,1.75,2.0,0.0349207613,0.0077594691,-0.0077594691,0.0035868289,-0.0035868289
2.125,2.0,2.25,0.0614808097,0.0063712294,-0.0063712294,0.0063150275,-0.0063150275
2.375,2.25,2.5,0.084794615,0.0076735959,-0.0076735959,0.0087095298,-0.0087095298
2.625,2.5,2.75,0.0859281904,0.0092780269,-0.0092780269,0.008827216,-0.008827216
2.875,2.75,3.0,0.1124147051,0.0112193877,-0.0112193877,0.0115464809,-0.0115464809
3.125,3.0,3.25,0.1117353875,0.0136197266,-0.0136197266,0.0114868621,-0.0114868621
3.375,3.25,3.5,0.0905865607,0.0165812849,-0.0165812849,0.0093484274,-0.0093484274
3.625,3.5,3.75,0.1037638893,0.0200999242,-0.0200999242,0.0107083123,-0.0107083123
3.875,3.75,4.0,0.0923377308,0.0245697895,-0.0245697895,0.0095291461,-0.0095291461
4.25,4.0,4.5,0.0579897895,0.0416257939,-0.0416257939,0.0071259048,-0.0071259048
4.75,4.5,5.0,0.1480227922,0.0529222501,-0.0529222501,0.0181893458,-0.0181893458
5.5,5.0,6.0,0.0109216835,0.0544066452,-0.0544066452,0.001342079,-0.001342079

