#: table_doi: 10.17182/hepdata.84717.v1/t107
#: name: Table 106
#: description: pt max of anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: pt_v2_max_LAMBDA.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: pt_2_max_LAMBDA
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
Centrality,Centrality LOW,Centrality HIGH,pt_v2_max_LAMBDA,stat +,stat -,sys +,sys -
2.5,0,5,1.41619,0.143997,-0.143997,0.155781,-0.155781
7.5,5,10,1.51903,0.0370763,-0.0370763,0.136713,-0.136713
15.0,10,20,1.44904,0.0267653,-0.0267653,0.072452,-0.072452
25.0,20,30,1.43357,0.0226165,-0.0226165,0.0860143,-0.0860143
35.0,30,40,1.3596,0.0205711,-0.0205711,0.0679801,-0.0679801
45.0,40,50,1.31249,0.0318674,-0.0318674,0.0524997,-0.0524997
55.0,50,60,1.18925,0.0256657,-0.0256657,0.0356776,-0.0356776
65.0,60,70,1.09936,0.0704731,-0.0704731,0.0659613,-0.0659613

