#: table_doi: 10.17182/hepdata.84717.v1/t64
#: name: Table 63
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_0.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_05,stat +,stat -,sys +,sys -
0.75,0.7,0.8,-0.0022326297,0.0040748291,-0.0040748291,0.0003075442,-0.0003075442
0.8500000000000001,0.8,0.9,-0.0041347513,0.0037168855,-0.0037168855,0.0005695611,-0.0005695611
0.95,0.9,1.0,-0.0072627273,0.0035359584,-0.0035359584,0.0010004391,-0.0010004391
1.125,1.0,1.25,-0.0007576741,0.0021438363,-0.0021438363,0.0001043694,-0.0001043694
1.375,1.25,1.5,0.0064014215,0.002165462,-0.002165462,0.0008817944,-0.0008817944
1.625,1.5,1.75,0.0111623311,0.0023210772,-0.0023210772,0.0015376086,-0.0015376086
1.875,1.75,2.0,0.0180302335,0.0025646433,-0.0025646433,0.0025097023,-0.0025097023
2.125,2.0,2.25,0.0258167223,0.0020234638,-0.0020234638,0.0025654866,-0.0025654866
2.375,2.25,2.5,0.0417297401,0.0023732189,-0.0023732189,0.0041468149,-0.0041468149
2.625,2.5,2.75,0.0491804665,0.0028320119,-0.0028320119,0.0048873337,-0.0048873337
2.875,2.75,3.0,0.0612838728,0.0034182936,-0.0034182936,0.0061064371,-0.0061064371
3.125,3.0,3.25,0.0666372626,0.0041875766,-0.0041875766,0.0066553916,-0.0066553916
3.375,3.25,3.5,0.0783356469,0.005183474,-0.005183474,0.0078237669,-0.0078237669
3.625,3.5,3.75,0.0871492523,0.0064301064,-0.0064301064,0.0087040251,-0.0087040251
3.875,3.75,4.0,0.0804933783,0.0080139064,-0.0080139064,0.0080392702,-0.0080392702
4.25,4.0,4.5,0.0863658644,0.0093651073,-0.0093651073,0.0107524635,-0.0107524635
4.75,4.5,5.0,0.0856805049,0.013248562,-0.013248562,0.0106671369,-0.0106671369
5.5,5.0,6.0,0.0504737211,0.014944553,-0.014944553,0.0062839276,-0.0062839276

