#: table_doi: 10.17182/hepdata.84717.v1/t76
#: name: Table 75
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_6.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_6
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,50-60%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_5060,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0812602,0.00225274,-0.00225274,0.008031808,-0.008031808
0.9500000000000001,0.8,1.1,0.122487,0.0013651,-0.0013651,0.003554852,-0.003554852
1.25,1.1,1.4,0.159131,0.00124074,-0.00124074,0.002680842,-0.002680842
1.5499999999999998,1.4,1.7,0.184683,0.00140453,-0.00140453,0.005847353,-0.005847353
1.85,1.7,2.0,0.199297,0.0017702,-0.0017702,0.006195732,-0.006195732
2.25,2.0,2.5,0.20885,0.00192676,-0.00192676,0.006216035,-0.006216035
2.75,2.5,3.0,0.210213,0.0028709,-0.0028709,0.006533757,-0.006533757
3.25,3.0,3.5,0.200511,0.00418631,-0.00418631,0.01130717,-0.01130717
3.75,3.5,4.0,0.195332,0.0057422,-0.0057422,0.009476245,-0.009476245
4.5,4.0,5.0,0.181482,0.0061986,-0.0061986,0.01222607,-0.01222607
5.5,5.0,6.0,0.161878,0.0101669,-0.0101669,0.04098388,-0.04098388
7.0,6.0,8.0,0.118507,0.0129593,-0.0129593,0.03000331,-0.03000331
9.0,8.0,10.0,0.0465885,0.027179,-0.027179,0.01179516,-0.01179516

