#: table_doi: 10.17182/hepdata.84717.v1/t6
#: name: Table 5
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_4.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_3040,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0829540306,9.38202e-05,-9.38202e-05,0.0016580681,-0.0016580681
0.6499999999999999,0.6,0.7,0.098212983,9.8168e-05,-9.8168e-05,0.0017944256,-0.0017944256
0.75,0.7,0.8,0.1121790963,0.0001078152,-0.0001078152,0.0019659782,-0.0019659782
0.8500000000000001,0.8,0.9,0.125863563,0.0001191453,-0.0001191453,0.0022907438,-0.0022907438
0.95,0.9,1.0,0.1381676388,0.0001326975,-0.0001326975,0.0023269068,-0.0023269068
1.125,1.0,1.25,0.1563896153,0.0001012938,-0.0001012938,0.0024359316,-0.0024359316
1.375,1.25,1.5,0.1801478448,0.0001348414,-0.0001348414,0.0026823528,-0.0026823528
1.625,1.5,1.75,0.198606333,0.0001781771,-0.0001781771,0.0027094058,-0.0027094058
1.875,1.75,2.0,0.21239431,0.0002321786,-0.0002321786,0.00274008,-0.00274008
2.125,2.0,2.25,0.22100516,0.0003007618,-0.0003007618,0.002888952,-0.002888952
2.375,2.25,2.5,0.2271741401,0.0003849372,-0.0003849372,0.0030235691,-0.0030235691
2.625,2.5,2.75,0.2278732966,0.000484742,-0.000484742,0.0033706907,-0.0033706907
2.875,2.75,3.0,0.226600073,0.000604358,-0.000604358,0.0034097057,-0.0034097057
3.125,3.0,3.25,0.2230950621,0.000743912,-0.000743912,0.0041383105,-0.0041383105
3.375,3.25,3.5,0.2157231624,0.0009069141,-0.0009069141,0.0047415708,-0.0047415708
3.625,3.5,3.75,0.2084477538,0.0010920207,-0.0010920207,0.0058830114,-0.0058830114
3.875,3.75,4.0,0.2001672184,0.00130118,-0.00130118,0.0068170701,-0.0068170701
4.25,4.0,4.5,0.1821061453,0.0014085978,-0.0014085978,0.0079898746,-0.0079898746
4.75,4.5,5.0,0.1651028624,0.0019151059,-0.0019151059,0.0072438586,-0.0072438586
5.5,5.0,6.0,0.1421442717,0.0019774798,-0.0019774798,0.0062365546,-0.0062365546
6.5,6.0,7.0,0.1122613645,0.0030713808,-0.0030713808,0.0049254473,-0.0049254473
8.0,7.0,9.0,0.0986068142,0.0036201066,-0.0036201066,0.0043263564,-0.0043263564
10.5,9.0,12.0,0.0801162087,0.0056870291,-0.0056870291,0.0035150844,-0.0035150844
14.0,12.0,16.0,0.0642846316,0.0100609012,-0.0100609012,0.0028204767,-0.0028204767

