#: table_doi: 10.17182/hepdata.84717.v1/t68
#: name: Table 67
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_4.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_3040,stat +,stat -,sys +,sys -
0.75,0.7,0.8,-0.0050747447,0.0058452555,-0.0058452555,0.0004503389,-0.0004503389
0.8500000000000001,0.8,0.9,-0.0043464313,0.0053938101,-0.0053938101,0.0003857075,-0.0003857075
0.95,0.9,1.0,0.0032486993,0.0052076069,-0.0052076069,0.0002882935,-0.0002882935
1.125,1.0,1.25,0.0067914457,0.0032695644,-0.0032695644,0.000602681,-0.000602681
1.375,1.25,1.5,0.0158847464,0.0034880517,-0.0034880517,0.0014096314,-0.0014096314
1.625,1.5,1.75,0.02810086,0.0039172996,-0.0039172996,0.002493704,-0.002493704
1.875,1.75,2.0,0.038715582,0.0044853359,-0.0044853359,0.0035218417,-0.0035218417
2.125,2.0,2.25,0.0533379067,0.0036406093,-0.0036406093,0.0048519953,-0.0048519953
2.375,2.25,2.5,0.0705753436,0.0043518548,-0.0043518548,0.0064200352,-0.0064200352
2.625,2.5,2.75,0.0769020796,0.005237128,-0.005237128,0.0069955872,-0.0069955872
2.875,2.75,3.0,0.0855296769,0.0063244306,-0.0063244306,0.0078272506,-0.0078272506
3.125,3.0,3.25,0.1076718865,0.0076874467,-0.0076874467,0.0098194757,-0.0098194757
3.375,3.25,3.5,0.1050888612,0.0093953402,-0.0093953402,0.0096172099,-0.0096172099
3.625,3.5,3.75,0.1226662615,0.0114422386,-0.0114422386,0.0112258061,-0.0112258061
3.875,3.75,4.0,0.108015534,0.014039288,-0.014039288,0.0098850444,-0.0098850444
4.25,4.0,4.5,0.1232022995,0.0208651072,-0.0208651072,0.0140472236,-0.0140472236
4.75,4.5,5.0,0.1485641826,0.0274542924,-0.0274542924,0.0169389232,-0.0169389232
5.5,5.0,6.0,0.0666725849,0.0287068577,-0.0287068577,0.0076018444,-0.0076018444

