#: table_doi: 10.17182/hepdata.84717.v1/t92
#: name: Table 91
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3L_0.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV3L_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v3_05,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,-0.000225681,0.00372814,-0.00372814,0.0001848392,-0.0001848392
1.25,1.1,1.4,0.00595204,0.00194793,-0.00194793,0.003038082,-0.003038082
1.5499999999999998,1.4,1.7,0.0162969,0.00150554,-0.00150554,0.003148392,-0.003148392
1.85,1.7,2.0,0.0287443,0.00142272,-0.00142272,0.003176563,-0.003176563
2.25,2.0,2.5,0.0496836,0.0012085,-0.0012085,0.005631831,-0.005631831
2.75,2.5,3.0,0.0709015,0.00156578,-0.00156578,0.005757957,-0.005757957
3.25,3.0,3.5,0.0871556,0.00228515,-0.00228515,0.00947625,-0.00947625
3.75,3.5,4.0,0.109295,0.00352462,-0.00352462,0.01188342,-0.01188342
4.5,4.0,5.0,0.106734,0.00474711,-0.00474711,0.01160497,-0.01160497
5.5,5.0,6.0,0.097756,0.0118208,-0.0118208,0.01062881,-0.01062881
7.0,6.0,8.0,0.0551125,0.0242826,-0.0242826,0.00599227,-0.00599227
9.0,8.0,10.0,-0.0184016,0.0705486,-0.0705486,0.002000768,-0.002000768

