#: table_doi: 10.17182/hepdata.84717.v1/t54
#: name: Table 53
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_6.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_6
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,50-60%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_5060,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0450591271,0.0015881988,-0.0015881988,0.0026969373,-0.0026969373
0.8500000000000001,0.8,0.9,0.0584724678,0.0014971183,-0.0014971183,0.0019977788,-0.0019977788
0.95,0.9,1.0,0.0756649202,0.0014793664,-0.0014793664,0.0022246483,-0.0022246483
1.125,1.0,1.25,0.0985604066,0.0009659795,-0.0009659795,0.0024217147,-0.0024217147
1.375,1.25,1.5,0.1410536807,0.0010823262,-0.0010823262,0.0030983454,-0.0030983454
1.625,1.5,1.75,0.1764308702,0.0012668815,-0.0012668815,0.0053355272,-0.0053355272
1.875,1.75,2.0,0.2072378046,0.0014967469,-0.0014967469,0.0049918101,-0.0049918101
2.125,2.0,2.25,0.2338312991,0.0012293216,-0.0012293216,0.0050691169,-0.0050691169
2.375,2.25,2.5,0.2549090977,0.0014932284,-0.0014932284,0.0057558605,-0.0057558605
2.625,2.5,2.75,0.2681206539,0.0018062802,-0.0018062802,0.0077631962,-0.0077631962
2.875,2.75,3.0,0.2756994463,0.0021917977,-0.0021917977,0.0116220717,-0.0116220717
3.125,3.0,3.25,0.2805367202,0.0026514996,-0.0026514996,0.0074538608,-0.0074538608
3.375,3.25,3.5,0.2735976638,0.0032262284,-0.0032262284,0.0092020181,-0.0092020181
3.625,3.5,3.75,0.2799795155,0.0038893014,-0.0038893014,0.0140283521,-0.0140283521
3.875,3.75,4.0,0.2716211076,0.0047236027,-0.0047236027,0.0165443486,-0.0165443486
4.25,4.0,4.5,0.2723785881,0.0092635319,-0.0092635319,0.0169554305,-0.0169554305
4.75,4.5,5.0,0.2547932057,0.0117821091,-0.0117821091,0.0158607492,-0.0158607492
5.5,5.0,6.0,0.2285928351,0.0113975501,-0.0113975501,0.0142297893,-0.0142297893
6.5,6.0,7.0,0.1907462323,0.0174336189,-0.0174336189,0.0118738573,-0.0118738573
8.0,7.0,9.0,0.1365234946,0.0212004743,-0.0212004743,0.0084985191,-0.0084985191
10.5,9.0,12.0,0.126677346,0.0339146092,-0.0339146092,0.0078856012,-0.0078856012
14.0,12.0,16.0,0.0300496803,0.0609262467,-0.0609262467,0.0018705775,-0.0018705775

