#: table_doi: 10.17182/hepdata.84717.v1/t93
#: name: Table 92
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3L_1.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV3L_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v3_510,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0051512265,0.0034233209,-0.0034233209,0.009,-0.009
1.25,1.1,1.4,0.0124981,0.00190271,-0.00190271,0.006183782,-0.006183782
1.5499999999999998,1.4,1.7,0.0233686,0.00150782,-0.00150782,0.007059333,-0.007059333
1.85,1.7,2.0,0.033515,0.00144543,-0.00144543,0.005160306,-0.005160306
2.25,2.0,2.5,0.0553905,0.00123583,-0.00123583,0.00468807,-0.00468807
2.75,2.5,3.0,0.0826496,0.00161196,-0.00161196,0.007535244,-0.007535244
3.25,3.0,3.5,0.0997595,0.00234821,-0.00234821,0.007219763,-0.007219763
3.75,3.5,4.0,0.116244,0.00359837,-0.00359837,0.008412774,-0.008412774
4.5,4.0,5.0,0.1365,0.00479731,-0.00479731,0.009878734,-0.009878734
5.5,5.0,6.0,0.109286,0.011781,-0.011781,0.007909211,-0.007909211
7.0,6.0,8.0,0.0551432,0.0225097,-0.0225097,0.003990806,-0.003990806
9.0,8.0,10.0,0.0202012,0.0713545,-0.0713545,0.001461995,-0.001461995

