#: table_doi: 10.17182/hepdata.84717.v1/t73
#: name: Table 72
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_3.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_2030,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0506304,0.000665005,-0.000665005,0.006901834,-0.006901834
0.9500000000000001,0.8,1.1,0.086932,0.000392269,-0.000392269,0.004369711,-0.004369711
1.25,1.1,1.4,0.119764,0.000355933,-0.000355933,0.003331304,-0.003331304
1.5499999999999998,1.4,1.7,0.1473,0.000418701,-0.000418701,0.003284668,-0.003284668
1.85,1.7,2.0,0.17004,0.000531662,-0.000531662,0.004287553,-0.004287553
2.25,2.0,2.5,0.188743,0.000596632,-0.000596632,0.002626774,-0.002626774
2.75,2.5,3.0,0.198126,0.000943994,-0.000943994,0.002929247,-0.002929247
3.25,3.0,3.5,0.197859,0.00144213,-0.00144213,0.003853138,-0.003853138
3.75,3.5,4.0,0.187571,0.0020909,-0.0020909,0.004365355,-0.004365355
4.5,4.0,5.0,0.167341,0.00239828,-0.00239828,0.00755724,-0.00755724
5.5,5.0,6.0,0.128725,0.00402176,-0.00402176,0.02128571,-0.02128571
7.0,6.0,8.0,0.0950473,0.0051834,-0.0051834,0.01571684,-0.01571684
9.0,8.0,10.0,0.064358,0.0104266,-0.0104266,0.01064211,-0.01064211

