#: table_doi: 10.17182/hepdata.84717.v1/t27
#: name: Table 26
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Kn_2.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV2Kn_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v2_1020,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0237783181,0.0002638817,-0.0002638817,0.0017884979,-0.0017884979
0.6499999999999999,0.6,0.7,0.0335748791,0.0002181832,-0.0002181832,0.0025525688,-0.0025525688
0.75,0.7,0.8,0.0448252279,0.0002037488,-0.0002037488,0.0035455538,-0.0035455538
0.8500000000000001,0.8,0.9,0.0549136549,0.0001991486,-0.0001991486,0.0037407126,-0.0037407126
0.95,0.9,1.0,0.06527299,0.000200845,-0.000200845,0.0032679764,-0.0032679764
1.125,1.0,1.25,0.0814804051,0.0001358876,-0.0001358876,0.0037145674,-0.0037145674
1.375,1.25,1.5,0.1031730288,0.0001577886,-0.0001577886,0.0038398727,-0.0038398727
1.625,1.5,1.75,0.121411517,0.0001883019,-0.0001883019,0.0043975824,-0.0043975824
1.875,1.75,2.0,0.1359463333,0.0002267524,-0.0002267524,0.0048912953,-0.0048912953
2.125,2.0,2.25,0.1477032896,0.0002800348,-0.0002800348,0.0044758449,-0.0044758449
2.375,2.25,2.5,0.1562638298,0.0003487247,-0.0003487247,0.0045068766,-0.0045068766
2.625,2.5,2.75,0.1615075136,0.0004347406,-0.0004347406,0.0047821192,-0.0047821192
2.875,2.75,3.0,0.1662732144,0.0005409781,-0.0005409781,0.004727407,-0.004727407
3.125,3.0,3.25,0.1673205091,0.0006735947,-0.0006735947,0.0048450736,-0.0048450736
3.375,3.25,3.5,0.1671827423,0.0008344876,-0.0008344876,0.0040304722,-0.0040304722
3.625,3.5,3.75,0.1627874173,0.0010235686,-0.0010235686,0.0058733029,-0.0058733029
3.875,3.75,4.0,0.1594336248,0.0012438265,-0.0012438265,0.00651974,-0.00651974

