#: table_doi: 10.17182/hepdata.84717.v1/t98
#: name: Table 97
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Phi510.yaml
#: keyword reactions: Pb Pb --> PHI
#: keyword observables: grV2Phi510
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PHI
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PHI_v2_510,stat +,stat -,sys +,sys -
1.05,0.9,1.2,0.00929869,0.0466678,-0.0466678,0.0011,-0.0011
1.35,1.2,1.5,0.0327558,0.0160111,-0.0160111,0.0039,-0.0039
1.65,1.5,1.8,0.065,0.0127537,-0.0127537,0.0078,-0.0078
1.9500000000000002,1.8,2.1,0.0569669,0.010802,-0.010802,0.0068,-0.0068
2.25,2.1,2.4,0.0720232,0.0112959,-0.0112959,0.0086,-0.0086
2.55,2.4,2.7,0.10966,0.0124698,-0.0124698,0.0132,-0.0132
2.85,2.7,3.0,0.115455,0.0142202,-0.0142202,0.0139,-0.0139
3.25,3.0,3.5,0.127949,0.0131117,-0.0131117,0.0154,-0.0154
3.75,3.5,4.0,0.0999634,0.0165762,-0.0165762,0.012,-0.012
4.25,4.0,4.5,0.117241,0.0223587,-0.0223587,0.0141,-0.0141
4.75,4.5,5.0,0.112537,0.027984,-0.027984,0.0135,-0.0135
5.25,5.0,5.5,0.107142,0.0340414,-0.0340414,0.0129,-0.0129
5.75,5.5,6.0,0.0684635,0.0407407,-0.0407407,0.0082,-0.0082

