#: table_doi: 10.17182/hepdata.84717.v1/t16
#: name: Table 15
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pin_5.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV3Pin_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v3_4050,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0243535335,0.000471272,-0.000471272,0.0008586983,-0.0008586983
0.6499999999999999,0.6,0.7,0.0312030233,0.0004969404,-0.0004969404,0.0009907294,-0.0009907294
0.75,0.7,0.8,0.0381710066,0.0005493461,-0.0005493461,0.0010109479,-0.0010109479
0.8500000000000001,0.8,0.9,0.0448503842,0.0006102456,-0.0006102456,0.001582735,-0.001582735
0.95,0.9,1.0,0.0506368915,0.0006820229,-0.0006820229,0.0014833041,-0.0014833041
1.125,1.0,1.25,0.0604242302,0.0005229994,-0.0005229994,0.0017272808,-0.0017272808
1.375,1.25,1.5,0.073139097,0.0006992646,-0.0006992646,0.0021110756,-0.0021110756
1.625,1.5,1.75,0.0848932546,0.000926027,-0.000926027,0.0027458664,-0.0027458664
1.875,1.75,2.0,0.0929372156,0.0012042851,-0.0012042851,0.0034006899,-0.0034006899
2.125,2.0,2.25,0.09858121,0.0015541054,-0.0015541054,0.0034098398,-0.0034098398
2.375,2.25,2.5,0.1003598115,0.0019748423,-0.0019748423,0.0036787687,-0.0036787687
2.625,2.5,2.75,0.1018167587,0.0024675359,-0.0024675359,0.0036041382,-0.0036041382
2.875,2.75,3.0,0.0974272679,0.0030495791,-0.0030495791,0.0032363899,-0.0032363899
3.125,3.0,3.25,0.1041297234,0.003720108,-0.003720108,0.0034008512,-0.0034008512
3.375,3.25,3.5,0.0929507567,0.0044962577,-0.0044962577,0.0036620719,-0.0036620719
3.625,3.5,3.75,0.0896217158,0.0053619744,-0.0053619744,0.0037589743,-0.0037589743
3.875,3.75,4.0,0.0882713769,0.0063346787,-0.0063346787,0.0038103575,-0.0038103575
4.25,4.0,4.5,0.077603908,0.0065018619,-0.0065018619,0.0049386826,-0.0049386826
4.75,4.5,5.0,0.0657111834,0.0087827645,-0.0087827645,0.0041818342,-0.0041818342
5.5,5.0,6.0,0.0599758435,0.0089780462,-0.0089780462,0.0038168394,-0.0038168394
6.5,6.0,7.0,0.032370043,0.013945763,-0.013945763,0.002060017,-0.002060017
8.0,7.0,9.0,0.0422210732,0.0162156282,-0.0162156282,0.0026869327,-0.0026869327
10.5,9.0,12.0,0.02068735,0.02613064,-0.02613064,0.0013165349,-0.0013165349

