#: table_doi: 10.17182/hepdata.84717.v1/t30
#: name: Table 29
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Kn_5.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV2Kn_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v2_4050,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0520449788,0.0005261284,-0.0005261284,0.0012254518,-0.0012254518
0.6499999999999999,0.6,0.7,0.0684708088,0.0004494485,-0.0004494485,0.0014297218,-0.0014297218
0.75,0.7,0.8,0.0856614564,0.0004320256,-0.0004320256,0.0018716094,-0.0018716094
0.8500000000000001,0.8,0.9,0.1028385923,0.0004317112,-0.0004317112,0.0016059761,-0.0016059761
0.95,0.9,1.0,0.1186832498,0.000442751,-0.000442751,0.0018532015,-0.0018532015
1.125,1.0,1.25,0.1421572391,0.0003049062,-0.0003049062,0.0020616052,-0.0020616052
1.375,1.25,1.5,0.1712858943,0.0003621404,-0.0003621404,0.0024178766,-0.0024178766
1.625,1.5,1.75,0.1944130026,0.0004394145,-0.0004394145,0.00270476,-0.00270476
1.875,1.75,2.0,0.2108400759,0.0005336769,-0.0005336769,0.0032492911,-0.0032492911
2.125,2.0,2.25,0.2207080868,0.0006613723,-0.0006613723,0.0034763609,-0.0034763609
2.375,2.25,2.5,0.2281645322,0.0008231028,-0.0008231028,0.0039989796,-0.0039989796
2.625,2.5,2.75,0.2274273188,0.0010195419,-0.0010195419,0.0045711221,-0.0045711221
2.875,2.75,3.0,0.2299223844,0.0012575171,-0.0012575171,0.0046016025,-0.0046016025
3.125,3.0,3.25,0.2277858785,0.0015401205,-0.0015401205,0.0085802747,-0.0085802747
3.375,3.25,3.5,0.2217598759,0.00187084,-0.00187084,0.0068891327,-0.0068891327
3.625,3.5,3.75,0.2145835735,0.0022582832,-0.0022582832,0.0080809171,-0.0080809171
3.875,3.75,4.0,0.2099764494,0.0026824827,-0.0026824827,0.0086003704,-0.0086003704

