#: table_doi: 10.17182/hepdata.84717.v1/t8
#: name: Table 7
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_6.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_6
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,50-60%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_5060,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0920197791,0.0002189979,-0.0002189979,0.0018234883,-0.0018234883
0.6499999999999999,0.6,0.7,0.1087217482,0.0002325626,-0.0002325626,0.0022651696,-0.0022651696
0.75,0.7,0.8,0.1243463138,0.0002586299,-0.0002586299,0.0025350624,-0.0025350624
0.8500000000000001,0.8,0.9,0.1386778751,0.0002887037,-0.0002887037,0.0027909925,-0.0027909925
0.95,0.9,1.0,0.1523473431,0.0003239128,-0.0003239128,0.0032389858,-0.0032389858
1.125,1.0,1.25,0.1695367219,0.0002494656,-0.0002494656,0.0034430429,-0.0034430429
1.375,1.25,1.5,0.1912114694,0.0003347892,-0.0003347892,0.0041492913,-0.0041492913
1.625,1.5,1.75,0.2065594139,0.0004436841,-0.0004436841,0.0050742774,-0.0050742774
1.875,1.75,2.0,0.2156050823,0.000576068,-0.000576068,0.0055831948,-0.0055831948
2.125,2.0,2.25,0.2199394818,0.0007395241,-0.0007395241,0.0062637187,-0.0062637187
2.375,2.25,2.5,0.2200752422,0.0009341502,-0.0009341502,0.0065963061,-0.0065963061
2.625,2.5,2.75,0.2176989077,0.0011613443,-0.0011613443,0.0070647809,-0.0070647809
2.875,2.75,3.0,0.2139471836,0.0014204659,-0.0014204659,0.0071246033,-0.0071246033
3.125,3.0,3.25,0.208453524,0.0017221793,-0.0017221793,0.0066284798,-0.0066284798
3.375,3.25,3.5,0.1989068817,0.0020643863,-0.0020643863,0.0062474532,-0.0062474532
3.625,3.5,3.75,0.1876105439,0.0024466561,-0.0024466561,0.0056371505,-0.0056371505
3.875,3.75,4.0,0.1840941911,0.0028692478,-0.0028692478,0.0060088053,-0.0060088053
4.25,4.0,4.5,0.1739404424,0.0028331217,-0.0028331217,0.0082047541,-0.0082047541
4.75,4.5,5.0,0.155659835,0.0037819378,-0.0037819378,0.0073424596,-0.0073424596
5.5,5.0,6.0,0.1413740418,0.0038397913,-0.0038397913,0.0066686001,-0.0066686001
6.5,6.0,7.0,0.1183827123,0.0059680768,-0.0059680768,0.0055841013,-0.0055841013
8.0,7.0,9.0,0.107132248,0.0069526647,-0.0069526647,0.0050534179,-0.0050534179
10.5,9.0,12.0,0.0977453993,0.0111377086,-0.0111377086,0.0046106412,-0.0046106412
14.0,12.0,16.0,0.0638329294,0.0203956931,-0.0203956931,0.0030109932,-0.0030109932

