#: table_doi: 10.17182/hepdata.84717.v1/t51
#: name: Table 50
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_3.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_2030,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0189522649,0.0006285158,-0.0006285158,0.001291253,-0.001291253
0.8500000000000001,0.8,0.9,0.0229953756,0.0005779258,-0.0005779258,0.0012022835,-0.0012022835
0.95,0.9,1.0,0.030599256,0.0005544697,-0.0005544697,0.0019004565,-0.0019004565
1.125,1.0,1.25,0.0480175007,0.000343568,-0.000343568,0.0028700249,-0.0028700249
1.375,1.25,1.5,0.0777821242,0.0003588735,-0.0003588735,0.0043312787,-0.0043312787
1.625,1.5,1.75,0.1092519853,0.0003947293,-0.0003947293,0.0036279408,-0.0036279408
1.875,1.75,2.0,0.1411722034,0.0004451821,-0.0004451821,0.0049412435,-0.0049412435
2.125,2.0,2.25,0.1705548822,0.0003531949,-0.0003531949,0.0045296524,-0.0045296524
2.375,2.25,2.5,0.1960878745,0.0004186782,-0.0004186782,0.0047935167,-0.0047935167
2.625,2.5,2.75,0.2166384791,0.0005011791,-0.0005011791,0.0054114828,-0.0054114828
2.875,2.75,3.0,0.234277827,0.000605075,-0.000605075,0.0045947274,-0.0045947274
3.125,3.0,3.25,0.2466778445,0.0007370047,-0.0007370047,0.0053701627,-0.0053701627
3.375,3.25,3.5,0.2554987809,0.000903516,-0.000903516,0.0059014473,-0.0059014473
3.625,3.5,3.75,0.2589309942,0.0011075001,-0.0011075001,0.006398423,-0.006398423
3.875,3.75,4.0,0.2593547086,0.0013613381,-0.0013613381,0.0086123997,-0.0086123997
4.25,4.0,4.5,0.264175507,0.0018300602,-0.0018300602,0.0151181346,-0.0151181346
4.75,4.5,5.0,0.2515203141,0.0024697928,-0.0024697928,0.014393908,-0.014393908
5.5,5.0,6.0,0.2336742286,0.0026656285,-0.0026656285,0.0133726191,-0.0133726191
6.5,6.0,7.0,0.183621061,0.0045223765,-0.0045223765,0.0105081956,-0.0105081956
8.0,7.0,9.0,0.1405255427,0.0056491784,-0.0056491784,0.0080419418,-0.0080419418
10.5,9.0,12.0,0.0996317594,0.0093886853,-0.0093886853,0.0057016881,-0.0057016881
14.0,12.0,16.0,0.0998206935,0.0169901938,-0.0169901938,0.0057125003,-0.0057125003

