#: table_doi: 10.17182/hepdata.84717.v1/t19
#: name: Table 18
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pin_1.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV4Pin_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v4_510,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.005945068,0.0004630325,-0.0004630325,0.0005358812,-0.0005358812
0.6499999999999999,0.6,0.7,0.0087741352,0.000475467,-0.000475467,0.0007908898,-0.0007908898
0.75,0.7,0.8,0.0107923332,0.000515219,-0.000515219,0.0009728077,-0.0009728077
0.8500000000000001,0.8,0.9,0.0138775195,0.0005650382,-0.0005650382,0.0011295482,-0.0011295482
0.95,0.9,1.0,0.0171114442,0.0006275628,-0.0006275628,0.0013927706,-0.0013927706
1.125,1.0,1.25,0.0221780855,0.0004784189,-0.0004784189,0.0018051653,-0.0018051653
1.375,1.25,1.5,0.030977056,0.0006327868,-0.0006327868,0.0025213496,-0.0025213496
1.625,1.5,1.75,0.0387804872,0.0008353113,-0.0008353113,0.0031565243,-0.0031565243
1.875,1.75,2.0,0.0457112148,0.0010954917,-0.0010954917,0.0037217697,-0.0037217697
2.125,2.0,2.25,0.053647271,0.0014376015,-0.0014376015,0.0043994036,-0.0043994036
2.375,2.25,2.5,0.0590856851,0.0018685642,-0.0018685642,0.0048453867,-0.0048453867
2.625,2.5,2.75,0.0628565343,0.0024038129,-0.0024038129,0.0051546193,-0.0051546193
2.875,2.75,3.0,0.0633896024,0.0030530623,-0.0030530623,0.0051983342,-0.0051983342
3.125,3.0,3.25,0.0723841452,0.0038463467,-0.0038463467,0.0059359416,-0.0059359416
3.375,3.25,3.5,0.0723385327,0.0047948514,-0.0047948514,0.0059322011,-0.0059322011
3.625,3.5,3.75,0.0774129046,0.0059031034,-0.0059031034,0.0063483305,-0.0063483305
3.875,3.75,4.0,0.0595378683,0.0071839878,-0.0071839878,0.0048824685,-0.0048824685
4.25,4.0,4.5,0.0601680519,0.0086986505,-0.0086986505,0.0059411189,-0.0059411189
4.75,4.5,5.0,0.053049413,0.0121506674,-0.0121506674,0.0052382096,-0.0052382096
5.5,5.0,6.0,0.051675597,0.0128127682,-0.0128127682,0.0051025562,-0.0051025562

