#: table_doi: 10.17182/hepdata.84717.v1/t89
#: name: Table 88
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_5.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_4050,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0570728,0.00163282,-0.00163282,0.006618539,-0.006618539
1.25,1.1,1.4,0.0963668,0.00112016,-0.00112016,0.00476125,-0.00476125
1.5499999999999998,1.4,1.7,0.139534,0.00101284,-0.00101284,0.007273726,-0.007273726
1.85,1.7,2.0,0.180822,0.00105025,-0.00105025,0.005187929,-0.005187929
2.25,2.0,2.5,0.223731,0.000955054,-0.000955054,0.004332294,-0.004332294
2.75,2.5,3.0,0.26081,0.00129805,-0.00129805,0.00527525,-0.00527525
3.25,3.0,3.5,0.28469,0.00190363,-0.00190363,0.01437295,-0.01437295
3.75,3.5,4.0,0.293494,0.00286543,-0.00286543,0.01481743,-0.01481743
4.5,4.0,5.0,0.286488,0.0035945,-0.0035945,0.01446373,-0.01446373
5.5,5.0,6.0,0.251284,0.00782471,-0.00782471,0.01268641,-0.01268641
7.0,6.0,8.0,0.208429,0.0131739,-0.0131739,0.01052281,-0.01052281
9.0,8.0,10.0,0.122426,0.0347459,-0.0347459,0.006180839,-0.006180839

