#: table_doi: 10.17182/hepdata.84717.v1/t15
#: name: Table 14
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pin_4.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV3Pin_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v3_3040,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0237231298,0.0002906371,-0.0002906371,0.0005961122,-0.0005961122
0.6499999999999999,0.6,0.7,0.0300111523,0.0003042502,-0.0003042502,0.0006352273,-0.0006352273
0.75,0.7,0.8,0.0359777163,0.0003343059,-0.0003343059,0.0010694106,-0.0010694106
0.8500000000000001,0.8,0.9,0.0428289187,0.0003696305,-0.0003696305,0.0010792768,-0.0010792768
0.95,0.9,1.0,0.0490493317,0.0004117708,-0.0004117708,0.0012127424,-0.0012127424
1.125,1.0,1.25,0.0596498528,0.0003145429,-0.0003145429,0.0013857825,-0.0013857825
1.375,1.25,1.5,0.0728040736,0.0004189672,-0.0004189672,0.0018428618,-0.0018428618
1.625,1.5,1.75,0.0839400191,0.000554151,-0.000554151,0.0019386273,-0.0019386273
1.875,1.75,2.0,0.0932540537,0.0007221432,-0.0007221432,0.0021481333,-0.0021481333
2.125,2.0,2.25,0.099491353,0.0009357944,-0.0009357944,0.0030341805,-0.0030341805
2.375,2.25,2.5,0.1039987539,0.0011965695,-0.0011965695,0.0023797172,-0.0023797172
2.625,2.5,2.75,0.1055391142,0.0015073438,-0.0015073438,0.0027732491,-0.0027732491
2.875,2.75,3.0,0.1096279413,0.0018781929,-0.0018781929,0.0032983601,-0.0032983601
3.125,3.0,3.25,0.107118777,0.0023094003,-0.0023094003,0.0037708552,-0.0037708552
3.375,3.25,3.5,0.1057606956,0.0028112362,-0.0028112362,0.003691365,-0.003691365
3.625,3.5,3.75,0.0998219377,0.0033836481,-0.0033836481,0.0034503955,-0.0034503955
3.875,3.75,4.0,0.0881633017,0.0040357159,-0.0040357159,0.003444119,-0.003444119
4.25,4.0,4.5,0.0882598508,0.0043566705,-0.0043566705,0.0056168227,-0.0056168227
4.75,4.5,5.0,0.0803484946,0.0059317958,-0.0059317958,0.005113347,-0.005113347
5.5,5.0,6.0,0.0487288153,0.0061022718,-0.0061022718,0.0031010829,-0.0031010829
6.5,6.0,7.0,0.0367983452,0.0094805575,-0.0094805575,0.0023418324,-0.0023418324
8.0,7.0,9.0,0.0450021729,0.0111593765,-0.0111593765,0.0028639208,-0.0028639208
10.5,9.0,12.0,0.0241420652,0.0174828221,-0.0174828221,0.0015363917,-0.0015363917

