#: table_doi: 10.17182/hepdata.84717.v1/t7
#: name: Table 6
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_5.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_4050,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.090073765,0.0001331285,-0.0001331285,0.0012458698,-0.0012458698
0.6499999999999999,0.6,0.7,0.1062664094,0.0001403,-0.0001403,0.0013842068,-0.0013842068
0.75,0.7,0.8,0.1214939508,0.0001550325,-0.0001550325,0.0016615906,-0.0016615906
0.8500000000000001,0.8,0.9,0.1359817851,0.0001721304,-0.0001721304,0.0019314939,-0.0019314939
0.95,0.9,1.0,0.1493875368,0.0001923377,-0.0001923377,0.0021198055,-0.0021198055
1.125,1.0,1.25,0.1676904595,0.0001474358,-0.0001474358,0.0023870924,-0.0023870924
1.375,1.25,1.5,0.1919718769,0.0001970183,-0.0001970183,0.0025630473,-0.0025630473
1.625,1.5,1.75,0.2092270729,0.0002607589,-0.0002607589,0.0029908002,-0.0029908002
1.875,1.75,2.0,0.221257194,0.0003390709,-0.0003390709,0.0032285695,-0.0032285695
2.125,2.0,2.25,0.2290550423,0.0004379069,-0.0004379069,0.003927941,-0.003927941
2.375,2.25,2.5,0.2310454339,0.000556746,-0.000556746,0.0037423064,-0.0037423064
2.625,2.5,2.75,0.2301987694,0.0006952685,-0.0006952685,0.0044577777,-0.0044577777
2.875,2.75,3.0,0.2289399656,0.0008597528,-0.0008597528,0.00472158,-0.00472158
3.125,3.0,3.25,0.2246856067,0.001049431,-0.001049431,0.0052928991,-0.0052928991
3.375,3.25,3.5,0.2142010047,0.0012709084,-0.0012709084,0.0056588034,-0.0056588034
3.625,3.5,3.75,0.2065883819,0.0015171355,-0.0015171355,0.005686003,-0.005686003
3.875,3.75,4.0,0.1969834405,0.0017940113,-0.0017940113,0.0053284395,-0.0053284395
4.25,4.0,4.5,0.1785603119,0.0018423894,-0.0018423894,0.0078343018,-0.0078343018
4.75,4.5,5.0,0.1633204581,0.0024891569,-0.0024891569,0.007165656,-0.007165656
5.5,5.0,6.0,0.1404681825,0.0025398779,-0.0025398779,0.0061630165,-0.0061630165
6.5,6.0,7.0,0.1218149477,0.0039405229,-0.0039405229,0.0053446091,-0.0053446091
8.0,7.0,9.0,0.0986325397,0.0046131726,-0.0046131726,0.0043274851,-0.0043274851
10.5,9.0,12.0,0.0841361371,0.0073831232,-0.0073831232,0.003691458,-0.003691458
14.0,12.0,16.0,0.0837695395,0.0128441746,-0.0128441746,0.0036753736,-0.0036753736

