#: table_doi: 10.17182/hepdata.84717.v1/t53
#: name: Table 52
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_5.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_4050,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0356650685,0.0010250444,-0.0010250444,0.0020856012,-0.0020856012
0.8500000000000001,0.8,0.9,0.0470889325,0.0009578169,-0.0009578169,0.0013860816,-0.0013860816
0.95,0.9,1.0,0.0585908853,0.0009336841,-0.0009336841,0.0016751207,-0.0016751207
1.125,1.0,1.25,0.0838961781,0.00059657,-0.00059657,0.0022556319,-0.0022556319
1.375,1.25,1.5,0.1232953262,0.000651107,-0.000651107,0.0025137989,-0.0025137989
1.625,1.5,1.75,0.160890638,0.0007450592,-0.0007450592,0.0034541453,-0.0034541453
1.875,1.75,2.0,0.1955306421,0.000865081,-0.000865081,0.0036034243,-0.0036034243
2.125,2.0,2.25,0.2268501681,0.0007015032,-0.0007015032,0.004491635,-0.004491635
2.375,2.25,2.5,0.2503907448,0.0008445437,-0.0008445437,0.0042710595,-0.0042710595
2.625,2.5,2.75,0.2704069529,0.0010204933,-0.0010204933,0.004895903,-0.004895903
2.875,2.75,3.0,0.2836903644,0.0012336999,-0.0012336999,0.0064767964,-0.0064767964
3.125,3.0,3.25,0.2893727396,0.001498371,-0.001498371,0.0065693441,-0.0065693441
3.375,3.25,3.5,0.2929791186,0.0018270956,-0.0018270956,0.0070415927,-0.0070415927
3.625,3.5,3.75,0.2925650388,0.0022205717,-0.0022205717,0.0089934001,-0.0089934001
3.875,3.75,4.0,0.2924812741,0.0027066884,-0.0027066884,0.0102440738,-0.0102440738
4.25,4.0,4.5,0.298784903,0.0046457565,-0.0046457565,0.0185992103,-0.0185992103
4.75,4.5,5.0,0.2818118226,0.0059481876,-0.0059481876,0.0175426446,-0.0175426446
5.5,5.0,6.0,0.2577208382,0.0060841294,-0.0060841294,0.0160429929,-0.0160429929
6.5,6.0,7.0,0.2280633346,0.0098006845,-0.0098006845,0.0141968282,-0.0141968282
8.0,7.0,9.0,0.1552248167,0.0116693734,-0.0116693734,0.009662667,-0.009662667
10.5,9.0,12.0,0.1119670685,0.0193419386,-0.0193419386,0.0069698938,-0.0069698938
14.0,12.0,16.0,0.0956422486,0.0359601358,-0.0359601358,0.005953682,-0.005953682

