#: table_doi: 10.17182/hepdata.84717.v1/t101
#: name: Table 100
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Phi3040.yaml
#: keyword reactions: Pb Pb --> PHI
#: keyword observables: grV2Phi3040
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PHI
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PHI_v2_3040,stat +,stat -,sys +,sys -
1.05,0.9,1.2,0.0500397,0.0294832,-0.0294832,0.004003176,-0.004003176
1.35,1.2,1.5,0.0909884,0.0143723,-0.0143723,0.007279072,-0.007279072
1.65,1.5,1.8,0.143358,0.0110404,-0.0110404,0.01146864,-0.01146864
1.9500000000000002,1.8,2.1,0.173145,0.0100845,-0.0100845,0.0138516,-0.0138516
2.25,2.1,2.4,0.187905,0.010449,-0.010449,0.0150324,-0.0150324
2.55,2.4,2.7,0.191839,0.0113226,-0.0113226,0.01534712,-0.01534712
2.85,2.7,3.0,0.217754,0.0155637,-0.0155637,0.01742032,-0.01742032
3.25,3.0,3.5,0.222276,0.0111825,-0.0111825,0.01778208,-0.01778208
3.75,3.5,4.0,0.234735,0.0158994,-0.0158994,0.0187788,-0.0187788
4.25,4.0,4.5,0.19234,0.0183067,-0.0183067,0.0153872,-0.0153872
4.75,4.5,5.0,0.19942,0.0221815,-0.0221815,0.0159536,-0.0159536
5.25,5.0,5.5,0.171484,0.0279712,-0.0279712,0.01371872,-0.01371872
5.75,5.5,6.0,0.159724,0.0382155,-0.0382155,0.01277792,-0.01277792
6.25,6.0,6.5,0.113938,0.0388199,-0.0388199,0.00911504,-0.00911504

