#: table_doi: 10.17182/hepdata.84717.v1/t14
#: name: Table 13
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pin_3.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV3Pin_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v3_2030,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0222715983,0.0002015058,-0.0002015058,0.0004458556,-0.0004458556
0.6499999999999999,0.6,0.7,0.0277679828,0.0002093934,-0.0002093934,0.0008229729,-0.0008229729
0.75,0.7,0.8,0.0338437023,0.0002287906,-0.0002287906,0.0009715957,-0.0009715957
0.8500000000000001,0.8,0.9,0.0393126989,0.0002519824,-0.0002519824,0.0012100606,-0.0012100606
0.95,0.9,1.0,0.0454860396,0.0002799715,-0.0002799715,0.0013864587,-0.0013864587
1.125,1.0,1.25,0.0549365674,0.000213286,-0.000213286,0.0014342315,-0.0014342315
1.375,1.25,1.5,0.0681246724,0.0002832724,-0.0002832724,0.0016512594,-0.0016512594
1.625,1.5,1.75,0.0797121186,0.0003741955,-0.0003741955,0.0018711389,-0.0018711389
1.875,1.75,2.0,0.0884712723,0.000488499,-0.000488499,0.0022274874,-0.0022274874
2.125,2.0,2.25,0.0971938807,0.0006359705,-0.0006359705,0.0025195659,-0.0025195659
2.375,2.25,2.5,0.1016044608,0.000817804,-0.000817804,0.0023528846,-0.0023528846
2.625,2.5,2.75,0.1047413922,0.0010377424,-0.0010377424,0.0025212572,-0.0025212572
2.875,2.75,3.0,0.1067671601,0.0013024251,-0.0013024251,0.0027922588,-0.0027922588
3.125,3.0,3.25,0.1045916074,0.0016140803,-0.0016140803,0.0027483071,-0.0027483071
3.375,3.25,3.5,0.1019237432,0.0019815356,-0.0019815356,0.0032574088,-0.0032574088
3.625,3.5,3.75,0.1016425673,0.0024055707,-0.0024055707,0.0027656811,-0.0027656811
3.875,3.75,4.0,0.0982081122,0.0028900294,-0.0028900294,0.0030797745,-0.0030797745
4.25,4.0,4.5,0.0904676775,0.0032756584,-0.0032756584,0.0057573279,-0.0057573279
4.75,4.5,5.0,0.0748480694,0.0044907717,-0.0044907717,0.0047633021,-0.0047633021
5.5,5.0,6.0,0.0530435302,0.0046894696,-0.0046894696,0.0033756697,-0.0033756697
6.5,6.0,7.0,0.0460121748,0.0073175169,-0.0073175169,0.002928197,-0.002928197
8.0,7.0,9.0,0.0256971516,0.0085433469,-0.0085433469,0.0016353568,-0.0016353568
10.5,9.0,12.0,0.029068827,0.0133799339,-0.0133799339,0.0018499289,-0.0018499289

