#: table_doi: 10.17182/hepdata.84717.v1/t105
#: name: Table 104
#: description: pt max of anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: pt_v2_max_PROTONS.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: pt_2_max_PROTONS
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
Centrality,Centrality LOW,Centrality HIGH,pt_v2_max_PROTONS,stat +,stat -,sys +,sys -
2.5,0,5,1.24072,0.0276556,-0.0276556,0.0801322,-0.0801322
7.5,5,10,1.31874,0.0191263,-0.0191263,0.0744017,-0.0744017
15.0,10,20,1.33841,0.0114687,-0.0114687,0.0745342,-0.0745342
25.0,20,30,1.31824,0.013123,-0.013123,0.0840873,-0.0840873
35.0,30,40,1.30824,0.0221097,-0.0221097,0.0983966,-0.0983966
45.0,40,50,1.19619,0.0209599,-0.0209599,0.0713556,-0.0713556
55.0,50,60,1.08735,0.0173817,-0.0173817,0.0713529,-0.0713529
65.0,60,70,0.993914,0.0253665,-0.0253665,0.0578169,-0.0578169

