#: table_doi: 10.17182/hepdata.84717.v1/t29
#: name: Table 28
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Kn_4.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV2Kn_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v2_3040,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0441089279,0.0003769517,-0.0003769517,0.0009085308,-0.0009085308
0.6499999999999999,0.6,0.7,0.0589849843,0.0003180727,-0.0003180727,0.0018410738,-0.0018410738
0.75,0.7,0.8,0.0750053611,0.000302718,-0.000302718,0.0024319511,-0.0024319511
0.8500000000000001,0.8,0.9,0.0906159296,0.000299993,-0.000299993,0.0028896872,-0.0028896872
0.95,0.9,1.0,0.1058916421,0.0003054677,-0.0003054677,0.0024822845,-0.0024822845
1.125,1.0,1.25,0.1293965242,0.0002085213,-0.0002085213,0.0027130748,-0.0027130748
1.375,1.25,1.5,0.1592459559,0.0002454861,-0.0002454861,0.0032402035,-0.0032402035
1.625,1.5,1.75,0.1830539995,0.0002959869,-0.0002959869,0.003403168,-0.003403168
1.875,1.75,2.0,0.2014781243,0.0003583286,-0.0003583286,0.0042539051,-0.0042539051
2.125,2.0,2.25,0.2136725383,0.0004429166,-0.0004429166,0.0040336337,-0.0040336337
2.375,2.25,2.5,0.2234825848,0.0005515675,-0.0005515675,0.0040959415,-0.0040959415
2.625,2.5,2.75,0.2271347716,0.0006857842,-0.0006857842,0.0036853772,-0.0036853772
2.875,2.75,3.0,0.2297284312,0.0008473538,-0.0008473538,0.004437006,-0.004437006
3.125,3.0,3.25,0.2278987237,0.0010436636,-0.0010436636,0.0056990199,-0.0056990199
3.375,3.25,3.5,0.2233080742,0.0012760018,-0.0012760018,0.0083425518,-0.0083425518
3.625,3.5,3.75,0.2175812662,0.0015469567,-0.0015469567,0.0099654003,-0.0099654003
3.875,3.75,4.0,0.2112725216,0.0018551626,-0.0018551626,0.0077174142,-0.0077174142

