#: table_doi: 10.17182/hepdata.84717.v1/t60
#: name: Table 59
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pn_3.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV3Pn_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v3_2030,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0058121377,0.0017211558,-0.0017211558,0.0004739086,-0.0004739086
0.8500000000000001,0.8,0.9,0.0062981799,0.0015830149,-0.0015830149,0.0003210448,-0.0003210448
0.95,0.9,1.0,0.0058581958,0.0015185361,-0.0015185361,0.0003710796,-0.0003710796
1.125,1.0,1.25,0.0159966421,0.0009411439,-0.0009411439,0.0007621919,-0.0007621919
1.375,1.25,1.5,0.0282185501,0.0009835732,-0.0009835732,0.0011304293,-0.0011304293
1.625,1.5,1.75,0.0445945341,0.0010829681,-0.0010829681,0.0019691536,-0.0019691536
1.875,1.75,2.0,0.062664732,0.0012223102,-0.0012223102,0.0027066181,-0.0027066181
2.125,2.0,2.25,0.0769451011,0.0009708149,-0.0009708149,0.0035480773,-0.0035480773
2.375,2.25,2.5,0.0932580653,0.0011520686,-0.0011520686,0.0033115953,-0.0033115953
2.625,2.5,2.75,0.1074611763,0.0013803361,-0.0013803361,0.0040718685,-0.0040718685
2.875,2.75,3.0,0.1180967098,0.0016655202,-0.0016655202,0.0041330993,-0.0041330993
3.125,3.0,3.25,0.1292987231,0.0020305435,-0.0020305435,0.0043059131,-0.0043059131
3.375,3.25,3.5,0.1395140454,0.0024909852,-0.0024909852,0.0062168142,-0.0062168142
3.625,3.5,3.75,0.1381145657,0.0030518464,-0.0030518464,0.0049879131,-0.0049879131
3.875,3.75,4.0,0.1494648103,0.0037454648,-0.0037454648,0.0050298629,-0.0050298629
4.25,4.0,4.5,0.144890323,0.0050342597,-0.0050342597,0.0098536076,-0.0098536076
4.75,4.5,5.0,0.1370161999,0.0067772584,-0.0067772584,0.0093181093,-0.0093181093
5.5,5.0,6.0,0.1259040874,0.0072981289,-0.0072981289,0.0085624039,-0.0085624039
6.5,6.0,7.0,0.0913198432,0.0123205576,-0.0123205576,0.006210421,-0.006210421
8.0,7.0,9.0,0.0804981821,0.0153668055,-0.0153668055,0.0054744684,-0.0054744684
10.5,9.0,12.0,0.0123960684,0.025571,-0.025571,0.0008430238,-0.0008430238

