#: table_doi: 10.17182/hepdata.84717.v1/t58
#: name: Table 57
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pn_1.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV3Pn_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v3_510,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0027557888,0.001674085,-0.001674085,0.0003115577,-0.0003115577
0.8500000000000001,0.8,0.9,0.0024910391,0.0015331137,-0.0015331137,0.0001855562,-0.0001855562
0.95,0.9,1.0,0.0060823772,0.001464312,-0.001464312,0.0004190885,-0.0004190885
1.125,1.0,1.25,0.0071538806,0.0008895473,-0.0008895473,0.0003342435,-0.0003342435
1.375,1.25,1.5,0.01677803,0.0009048733,-0.0009048733,0.0007296052,-0.0007296052
1.625,1.5,1.75,0.0279476222,0.0009723349,-0.0009723349,0.0012266748,-0.0012266748
1.875,1.75,2.0,0.0436639811,0.0010784598,-0.0010784598,0.0018869586,-0.0018869586
2.125,2.0,2.25,0.0569212315,0.0008439341,-0.0008439341,0.0025207454,-0.0025207454
2.375,2.25,2.5,0.0718376017,0.0009919123,-0.0009919123,0.003214871,-0.003214871
2.625,2.5,2.75,0.0847094143,0.0011833823,-0.0011833823,0.0038189625,-0.0038189625
2.875,2.75,3.0,0.0956197753,0.001429019,-0.001429019,0.0042566045,-0.0042566045
3.125,3.0,3.25,0.1069974907,0.0017468732,-0.0017468732,0.0048711049,-0.0048711049
3.375,3.25,3.5,0.115203109,0.0021547074,-0.0021547074,0.0050887584,-0.0050887584
3.625,3.5,3.75,0.1200451377,0.0026704026,-0.0026704026,0.0053951146,-0.0053951146
3.875,3.75,4.0,0.1266750218,0.0033167402,-0.0033167402,0.0061582443,-0.0061582443
4.25,4.0,4.5,0.1196099476,0.0039775419,-0.0039775419,0.0081343561,-0.0081343561
4.75,4.5,5.0,0.1178769158,0.0055420701,-0.0055420701,0.0080164972,-0.0080164972
5.5,5.0,6.0,0.1063168666,0.0062064125,-0.0062064125,0.0072303289,-0.0072303289
6.5,6.0,7.0,0.0796988491,0.0108205415,-0.0108205415,0.0054201079,-0.0054201079
8.0,7.0,9.0,0.0587654076,0.0137739486,-0.0137739486,0.0039964799,-0.0039964799
10.5,9.0,12.0,-0.0040757358,0.022475443,-0.022475443,0.00027718,-0.00027718

