#: table_doi: 10.17182/hepdata.84717.v1/t83
#: name: Table 82
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3K0_5.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV3K0_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v3_4050,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0182759,0.00453133,-0.00453133,0.004973385,-0.004973385
0.9500000000000001,0.8,1.1,0.0365761,0.00269841,-0.00269841,0.007475557,-0.007475557
1.25,1.1,1.4,0.0569552,0.00246168,-0.00246168,0.005648983,-0.005648983
1.5499999999999998,1.4,1.7,0.0687425,0.00283775,-0.00283775,0.003277529,-0.003277529
1.85,1.7,2.0,0.0724997,0.00364194,-0.00364194,0.01365262,-0.01365262
2.25,2.0,2.5,0.0961141,0.00399941,-0.00399941,0.007959095,-0.007959095
2.75,2.5,3.0,0.0865846,0.00607807,-0.00607807,0.01577628,-0.01577628
3.25,3.0,3.5,0.0889736,0.00901499,-0.00901499,0.006772114,-0.006772114
3.75,3.5,4.0,0.100571,0.0126908,-0.0126908,0.007654835,-0.007654835
4.5,4.0,5.0,0.0661099,0.0136024,-0.0136024,0.005031872,-0.005031872
5.5,5.0,6.0,0.0290298,0.0225681,-0.0225681,0.002209567,-0.002209567
7.0,6.0,8.0,0.0828031,0.0287331,-0.0287331,0.006302454,-0.006302454
9.0,8.0,10.0,0.072965,0.0600929,-0.0600929,0.005553639,-0.005553639

