#: table_doi: 10.17182/hepdata.84717.v1/t80
#: name: Table 79
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3K0_2.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV3K0_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v3_1020,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0119395,0.00135567,-0.00135567,0.002247537,-0.002247537
0.9500000000000001,0.8,1.1,0.0252601,0.000796685,-0.000796685,0.003706809,-0.003706809
1.25,1.1,1.4,0.0410168,0.000728651,-0.000728651,0.002570277,-0.002570277
1.5499999999999998,1.4,1.7,0.0530644,0.000859291,-0.000859291,0.00307803,-0.00307803
1.85,1.7,2.0,0.0679214,0.00111255,-0.00111255,0.00375633,-0.00375633
2.25,2.0,2.5,0.0829979,0.00126132,-0.00126132,0.002593317,-0.002593317
2.75,2.5,3.0,0.0928506,0.00204572,-0.00204572,0.004885762,-0.004885762
3.25,3.0,3.5,0.0982771,0.0030846,-0.0030846,0.007827307,-0.007827307
3.75,3.5,4.0,0.0965802,0.00468193,-0.00468193,0.007692157,-0.007692157
4.5,4.0,5.0,0.0862231,0.00523992,-0.00523992,0.006867263,-0.006867263
5.5,5.0,6.0,0.059045,0.00914952,-0.00914952,0.004702655,-0.004702655
7.0,6.0,8.0,0.0472968,0.0117795,-0.0117795,0.003766967,-0.003766967
9.0,8.0,10.0,0.0234075,0.0245475,-0.0245475,0.001864297,-0.001864297

