#: table_doi: 10.17182/hepdata.84717.v1/t17
#: name: Table 16
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pin_0ultra.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV4Pin_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v4_01,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.006329311,0.0009966564,-0.0009966564,0.001004747,-0.001004747
0.6499999999999999,0.6,0.7,0.0067043866,0.0010155021,-0.0010155021,0.0010642884,-0.0010642884
0.75,0.7,0.8,0.0079271701,0.0010959123,-0.0010959123,0.0012583992,-0.0012583992
0.8500000000000001,0.8,0.9,0.0138909558,0.0012005791,-0.0012005791,0.0021384854,-0.0021384854
0.95,0.9,1.0,0.014639323,0.0013342734,-0.0013342734,0.0022536951,-0.0022536951
1.125,1.0,1.25,0.0177442722,0.0010187086,-0.0010187086,0.0027316959,-0.0027316959
1.375,1.25,1.5,0.0264845215,0.0013434762,-0.0013434762,0.0040772402,-0.0040772402
1.625,1.5,1.75,0.0320239666,0.0017713218,-0.0017713218,0.0040761347,-0.0040761347
1.875,1.75,2.0,0.0367873998,0.0023263947,-0.0023263947,0.0046833435,-0.0046833435
2.125,2.0,2.25,0.040061083,0.003064411,-0.003064411,0.0051146566,-0.0051146566
2.375,2.25,2.5,0.0433550754,0.0040042905,-0.0040042905,0.0055352054,-0.0055352054
2.625,2.5,2.75,0.0543199917,0.0051698886,-0.0051698886,0.0069351122,-0.0069351122
2.875,2.75,3.0,0.0621159346,0.0066239789,-0.0066239789,0.0079304315,-0.0079304315
3.125,3.0,3.25,0.0710692925,0.0083952338,-0.0083952338,0.0090735197,-0.0090735197
3.375,3.25,3.5,0.057507061,0.0105522714,-0.0105522714,0.00734201,-0.00734201
3.625,3.5,3.75,0.0454219877,0.0130739557,-0.0130739557,0.0057990911,-0.0057990911
3.875,3.75,4.0,0.0601152122,0.0160655548,-0.0160655548,0.0076749964,-0.0076749964
4.25,4.0,4.5,0.0686916995,0.0196918043,-0.0196918043,0.0094560304,-0.0094560304
4.75,4.5,5.0,0.0875508529,0.0281646938,-0.0281646938,0.0120521626,-0.0120521626
5.5,5.0,6.0,0.0883306809,0.0301478528,-0.0301478528,0.0121595129,-0.0121595129

