#: table_doi: 10.17182/hepdata.84717.v1/t5
#: name: Table 4
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_3.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_2030,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0710820191,7.36247e-05,-7.36247e-05,0.0023702003,-0.0023702003
0.6499999999999999,0.6,0.7,0.0840320144,7.64757e-05,-7.64757e-05,0.002650736,-0.002650736
0.75,0.7,0.8,0.0962661635,8.35479e-05,-8.35479e-05,0.0029239846,-0.0029239846
0.8500000000000001,0.8,0.9,0.1080358503,9.19791e-05,-9.19791e-05,0.003072271,-0.003072271
0.95,0.9,1.0,0.118802733,0.0001021422,-0.0001021422,0.0032068825,-0.0032068825
1.125,1.0,1.25,0.134804574,7.78035e-05,-7.78035e-05,0.003152342,-0.003152342
1.375,1.25,1.5,0.1563686766,0.0001032572,-0.0001032572,0.0033598997,-0.0033598997
1.625,1.5,1.75,0.1739473396,0.0001363306,-0.0001363306,0.0035613676,-0.0035613676
1.875,1.75,2.0,0.1876161628,0.0001778843,-0.0001778843,0.0036861265,-0.0036861265
2.125,2.0,2.25,0.1975216701,0.0002315292,-0.0002315292,0.0035383042,-0.0035383042
2.375,2.25,2.5,0.2035521424,0.0002978675,-0.0002978675,0.0036398828,-0.0036398828
2.625,2.5,2.75,0.2070241001,0.0003779752,-0.0003779752,0.0037267348,-0.0037267348
2.875,2.75,3.0,0.2064859598,0.0004742725,-0.0004742725,0.0043012442,-0.0043012442
3.125,3.0,3.25,0.2046579554,0.0005891608,-0.0005891608,0.0038482666,-0.0038482666
3.375,3.25,3.5,0.1990485818,0.0007238028,-0.0007238028,0.0046590393,-0.0046590393
3.625,3.5,3.75,0.1937548648,0.000878984,-0.000878984,0.0041900033,-0.0041900033
3.875,3.75,4.0,0.1850225004,0.0010547891,-0.0010547891,0.0049471162,-0.0049471162
4.25,4.0,4.5,0.1704360415,0.0011998299,-0.0011998299,0.0074778509,-0.0074778509
4.75,4.5,5.0,0.1530246773,0.001650224,-0.001650224,0.0067139304,-0.0067139304
5.5,5.0,6.0,0.1304236578,0.0017148668,-0.0017148668,0.0057223147,-0.0057223147
6.5,6.0,7.0,0.1101893058,0.00266737,-0.00266737,0.0048345361,-0.0048345361
8.0,7.0,9.0,0.087120227,0.0031311293,-0.0031311293,0.0038223844,-0.0038223844
10.5,9.0,12.0,0.073875186,0.0048941197,-0.0048941197,0.0032412606,-0.0032412606
14.0,12.0,16.0,0.0624473087,0.0084849693,-0.0084849693,0.0027398645,-0.0027398645

