#: table_doi: 10.17182/hepdata.84717.v1/t85
#: name: Table 84
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_1.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_510,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0135831058,0.0017036292,-0.0017036292,0.008,-0.008
1.25,1.1,1.4,0.0213772,0.000945406,-0.000945406,0.003610082,-0.003610082
1.5499999999999998,1.4,1.7,0.0405703,0.000749143,-0.000749143,0.005183062,-0.005183062
1.85,1.7,2.0,0.0586875,0.000718225,-0.000718225,0.00506481,-0.00506481
2.25,2.0,2.5,0.0826847,0.000615034,-0.000615034,0.00456042,-0.00456042
2.75,2.5,3.0,0.107196,0.000802502,-0.000802502,0.009235374,-0.009235374
3.25,3.0,3.5,0.12577,0.0011707,-0.0011707,0.007829545,-0.007829545
3.75,3.5,4.0,0.137102,0.00179404,-0.00179404,0.008534995,-0.008534995
4.5,4.0,5.0,0.147439,0.00239147,-0.00239147,0.009178503,-0.009178503
5.5,5.0,6.0,0.132389,0.00587619,-0.00587619,0.008241597,-0.008241597
7.0,6.0,8.0,0.0941034,0.0113177,-0.0113177,0.005858208,-0.005858208
9.0,8.0,10.0,0.100192,0.0361274,-0.0361274,0.006237241,-0.006237241

