#: table_doi: 10.17182/hepdata.84717.v1/t49
#: name: Table 48
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_1.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_1
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_510,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0067428393,0.0008317448,-0.0008317448,0.0006956975,-0.0006956975
0.8500000000000001,0.8,0.9,0.0101652667,0.0007617227,-0.0007617227,0.0008143275,-0.0008143275
0.95,0.9,1.0,0.0124289844,0.0007268598,-0.0007268598,0.0011166593,-0.0011166593
1.125,1.0,1.25,0.0202785065,0.000441479,-0.000441479,0.0015538177,-0.0015538177
1.375,1.25,1.5,0.0344418078,0.0004491356,-0.0004491356,0.0020200556,-0.0020200556
1.625,1.5,1.75,0.0509194337,0.0004836135,-0.0004836135,0.0029073156,-0.0029073156
1.875,1.75,2.0,0.0681520122,0.0005359957,-0.0005359957,0.0026123836,-0.0026123836
2.125,2.0,2.25,0.0836700023,0.000420045,-0.000420045,0.0029480664,-0.0029480664
2.375,2.25,2.5,0.0984722228,0.0004934253,-0.0004934253,0.0035750081,-0.0035750081
2.625,2.5,2.75,0.1115346828,0.0005894161,-0.0005894161,0.0034427426,-0.0034427426
2.875,2.75,3.0,0.1225901425,0.0007120824,-0.0007120824,0.0035547337,-0.0035547337
3.125,3.0,3.25,0.1313402695,0.0008708391,-0.0008708391,0.0042427276,-0.0042427276
3.375,3.25,3.5,0.1368507027,0.001074982,-0.001074982,0.0041887023,-0.0041887023
3.625,3.5,3.75,0.1400773281,0.0013328262,-0.0013328262,0.0036855581,-0.0036855581
3.875,3.75,4.0,0.1406979852,0.0016530106,-0.0016530106,0.004689926,-0.004689926
4.25,4.0,4.5,0.1401748082,0.0019812858,-0.0019812858,0.0080218701,-0.0080218701
4.75,4.5,5.0,0.1373058084,0.0027722546,-0.0027722546,0.0078576841,-0.0078576841
5.5,5.0,6.0,0.120428198,0.0031044584,-0.0031044584,0.0068918187,-0.0068918187
6.5,6.0,7.0,0.0894597064,0.0054295517,-0.0054295517,0.0051195658,-0.0051195658
8.0,7.0,9.0,0.0742110134,0.0068888943,-0.0068888943,0.0042469194,-0.0042469194
10.5,9.0,12.0,0.0198127695,0.0112263083,-0.0112263083,0.0011338376,-0.0011338376
14.0,12.0,16.0,0.0526837115,0.0191414512,-0.0191414512,0.0030149632,-0.0030149632

