#: table_doi: 10.17182/hepdata.84717.v1/t40
#: name: Table 39
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Kn_0ultra.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV4Kn_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v4_01,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0075149512,0.004147122,-0.004147122,0.0012961929,-0.0012961929
0.6499999999999999,0.6,0.7,-0.0015455846,0.0033747099,-0.0033747099,0.0002665853,-0.0002665853
0.75,0.7,0.8,0.0034497175,0.0031167388,-0.0031167388,0.0005950138,-0.0005950138
0.8500000000000001,0.8,0.9,-0.0018308635,0.0030328439,-0.0030328439,0.0003157908,-0.0003157908
0.95,0.9,1.0,0.0031650428,0.0030619242,-0.0030619242,0.0005459125,-0.0005459125
1.125,1.0,1.25,0.0156622869,0.0020760648,-0.0020760648,0.0025902039,-0.0025902039
1.375,1.25,1.5,0.013753362,0.00239615,-0.00239615,0.00227451,-0.00227451
1.625,1.5,1.75,0.0268729526,0.0028368018,-0.0028368018,0.0035802748,-0.0035802748
1.875,1.75,2.0,0.033722961,0.0034103361,-0.0034103361,0.0045016137,-0.0045016137
2.125,2.0,2.25,0.0388161051,0.0042104092,-0.0042104092,0.0051733013,-0.0051733013
2.375,2.25,2.5,0.0476886692,0.0052543949,-0.0052543949,0.0063713916,-0.0063713916
2.625,2.5,2.75,0.0551906366,0.006587436,-0.006587436,0.0073736836,-0.0073736836
2.875,2.75,3.0,0.0553818441,0.0082371501,-0.0082371501,0.0073992297,-0.0073992297
3.125,3.0,3.25,0.0645379318,0.0103495116,-0.0103495116,0.0086225186,-0.0086225186
3.375,3.25,3.5,0.0472823411,0.0129562664,-0.0129562664,0.0063171046,-0.0063171046
3.625,3.5,3.75,0.0620075156,0.0160232704,-0.0160232704,0.0082844451,-0.0082844451
3.875,3.75,4.0,0.0733010796,0.0196317262,-0.0196317262,0.0097933092,-0.0097933092

